mjd,mag,magerr
4,2629,0.05
5,275,0.05
9,237,0.05
11,360,0.05
13,315,0.05
14,371,0.05
15,307,0.05
16,484,0.05
18,233,0.05
20,344,0.05
46,208,0.05
47,249,0.05
49,241,0.05
51,212,0.05
62,226,0.05
65,279,0.05
70,261,0.05
72,194,0.05
73,227,0.05
83,206,0.05
83,206,0.05
25,438,0.05
26,357,0.05
27,374,0.05
33,363,0.05
35,253,0.05
36,857,0.05
38,390,0.05
39,221,0.05
41,370,0.05
43,332,0.05
43,332,0.05
49,234,0.05
52,1467,0.05
59,1922,0.05
60,957,0.05
63,290,0.05
63,290,0.05
66,79,0.05
67,140,0.05
69,161,0.05
73,368,0.05
79,175,0.05
25,1708,0.05
28,2166,0.05
31,1330,0.05
34,1225,0.05
36,2091,0.05
37,1085,0.05
38,1202,0.05
40,2055,0.05
41,3974,0.05
43,1182,0.05
43,1182,0.05
47,2142,0.05
50,2731,0.05
56,3083,0.05
58,1987,0.05
59,3547,0.05
68,2930,0.05
71,3355,0.05
72,1043,0.05
77,1042,0.05
78,1146,0.05
5,608,0.05
7,1647,0.05
8,289,0.05
9,362,0.05
10,347,0.05
12,490,0.05
14,457,0.05
15,316,0.05
18,278,0.05
22,308,0.05
25,410,0.05
26,295,0.05
32,400,0.05
33,727,0.05
41,496,0.05
44,764,0.05
47,525,0.05
48,534,0.05
60,425,0.05
62,361,0.05
5,1735,0.05
14,391,0.05
15,594,0.05
16,328,0.05
20,562,0.05
44,265,0.05
47,312,0.05
53,859,0.05
54,172,0.05
55,265,0.05
56,344,0.05
57,375,0.05
58,234,0.05
60,235,0.05
62,328,0.05
66,250,0.05
74,281,0.05
77,359,0.05
78,171,0.05
83,282,0.05
83,282,0.05
6,2289,0.05
8,3902,0.05
17,2415,0.05
19,4093,0.05
22,4189,0.05
25,2638,0.05
26,1716,0.05
27,2982,0.05
29,3956,0.05
31,1604,0.05
44,3217,0.05
45,1744,0.05
46,3810,0.05
49,1143,0.05
53,3933,0.05
55,2434,0.05
57,2747,0.05
58,5594,0.05
60,1521,0.05
63,1236,0.05
63,1236,0.05
7,619,0.05
13,1059,0.05
14,497,0.05
20,1079,0.05
22,248,0.05
25,419,0.05
26,305,0.05
27,182,0.05
29,357,0.05
31,256,0.05
32,812,0.05
34,324,0.05
36,263,0.05
37,250,0.05
38,263,0.05
65,392,0.05
68,382,0.05
74,164,0.05
75,172,0.05
83,148,0.05
83,148,0.05
5,1185,0.05
6,528,0.05
9,1206,0.05
19,257,0.05
23,302,0.05
23,302,0.05
26,554,0.05
30,296,0.05
31,211,0.05
32,756,0.05
34,325,0.05
35,549,0.05
37,242,0.05
38,240,0.05
40,220,0.05
43,259,0.05
43,259,0.05
48,176,0.05
53,177,0.05
54,177,0.05
55,189,0.05
61,164,0.05
9,2728,0.05
12,2479,0.05
14,843,0.05
21,2031,0.05
22,671,0.05
24,1335,0.05
27,1498,0.05
28,6598,0.05
32,2482,0.05
36,7093,0.05
45,1013,0.05
46,3652,0.05
48,1583,0.05
51,1171,0.05
52,2882,0.05
57,1526,0.05
59,1066,0.05
61,1274,0.05
62,2536,0.05
63,1461,0.05
63,1461,0.05
4,1397,0.05
12,1822,0.05
14,1197,0.05
19,2181,0.05
22,1169,0.05
24,1387,0.05
26,1320,0.05
27,1365,0.05
30,915,0.05
31,1240,0.05
37,766,0.05
38,989,0.05
41,1235,0.05
42,525,0.05
43,1702,0.05
43,1702,0.05
65,864,0.05
69,1429,0.05
72,1013,0.05
79,1199,0.05
82,963,0.05
27,747,0.05
30,1837,0.05
31,1924,0.05
34,1949,0.05
35,1263,0.05
44,2035,0.05
45,2184,0.05
46,2111,0.05
51,1828,0.05
52,18954,0.05
53,3104,0.05
57,711,0.05
59,1225,0.05
60,2236,0.05
63,876,0.05
63,876,0.05
68,1791,0.05
73,2171,0.05
74,3652,0.05
79,1766,0.05
82,2641,0.05
4,2599,0.05
5,2236,0.05
8,1663,0.05
10,1411,0.05
11,1281,0.05
15,474,0.05
16,405,0.05
17,2329,0.05
19,1423,0.05
23,1739,0.05
23,1739,0.05
46,2257,0.05
47,1649,0.05
50,389,0.05
51,399,0.05
53,288,0.05
64,420,0.05
65,298,0.05
67,274,0.05
79,256,0.05
81,252,0.05
25,4186,0.05
30,2737,0.05
31,2543,0.05
35,2498,0.05
42,3974,0.05
44,1757,0.05
50,2795,0.05
53,2626,0.05
54,1761,0.05
62,2876,0.05
66,4746,0.05
68,2509,0.05
70,2460,0.05
74,1960,0.05
77,1776,0.05
78,1901,0.05
79,2580,0.05
80,5017,0.05
81,2100,0.05
83,13815,0.05
83,13815,0.05
5,175,0.05
6,160,0.05
16,129,0.05
19,210,0.05
20,357,0.05
48,220,0.05
52,183,0.05
57,256,0.05
61,216,0.05
63,426,0.05
63,426,0.05
65,233,0.05
69,220,0.05
70,255,0.05
73,175,0.05
76,195,0.05
78,216,0.05
79,240,0.05
80,241,0.05
82,213,0.05
83,201,0.05
83,201,0.05
