mjd,mag,magerr
27,303,0.05
31,206,0.05
33,193,0.05
34,251,0.05
35,227,0.05
36,466,0.05
37,459,0.05
38,356,0.05
40,396,0.05
41,262,0.05
48,279,0.05
52,257,0.05
54,219,0.05
57,235,0.05
63,609,0.05
63,609,0.05
68,200,0.05
74,376,0.05
77,185,0.05
81,211,0.05
82,230,0.05
4,1161,0.05
5,2193,0.05
7,1614,0.05
8,1430,0.05
9,1168,0.05
13,2016,0.05
16,659,0.05
20,331,0.05
21,332,0.05
22,358,0.05
44,302,0.05
48,232,0.05
50,1041,0.05
58,1390,0.05
62,2700,0.05
65,207,0.05
70,133,0.05
71,108,0.05
72,88,0.05
77,155,0.05
4,1383,0.05
7,3764,0.05
8,1653,0.05
9,1481,0.05
11,2162,0.05
12,3574,0.05
14,6996,0.05
20,1765,0.05
21,1930,0.05
22,2155,0.05
45,1327,0.05
46,1297,0.05
52,1318,0.05
54,3859,0.05
63,2423,0.05
63,2423,0.05
64,1552,0.05
65,1464,0.05
69,1238,0.05
73,1162,0.05
82,1291,0.05
24,451,0.05
29,404,0.05
34,631,0.05
36,509,0.05
37,434,0.05
49,566,0.05
51,568,0.05
54,178,0.05
56,294,0.05
61,389,0.05
64,275,0.05
65,326,0.05
69,357,0.05
71,157,0.05
72,213,0.05
75,752,0.05
76,421,0.05
79,815,0.05
81,435,0.05
83,536,0.05
83,536,0.05
4,313,0.05
7,469,0.05
10,531,0.05
21,438,0.05
23,375,0.05
23,375,0.05
25,312,0.05
28,734,0.05
29,1015,0.05
30,468,0.05
31,391,0.05
35,265,0.05
37,281,0.05
41,890,0.05
42,390,0.05
43,344,0.05
43,344,0.05
64,328,0.05
70,344,0.05
71,171,0.05
72,172,0.05
79,157,0.05
9,3251,0.05
10,3687,0.05
12,6312,0.05
16,3655,0.05
21,1475,0.05
30,2085,0.05
34,1476,0.05
35,3194,0.05
40,2565,0.05
41,1725,0.05
64,2677,0.05
66,2112,0.05
69,1510,0.05
71,1771,0.05
73,948,0.05
76,2411,0.05
77,1744,0.05
80,5599,0.05
81,1805,0.05
82,3323,0.05
4,2366,0.05
11,2788,0.05
19,231,0.05
21,176,0.05
23,198,0.05
23,198,0.05
45,227,0.05
48,138,0.05
50,216,0.05
52,216,0.05
53,246,0.05
54,144,0.05
55,118,0.05
58,157,0.05
59,259,0.05
63,197,0.05
63,197,0.05
66,247,0.05
73,150,0.05
80,1090,0.05
81,172,0.05
82,161,0.05
7,1520,0.05
12,853,0.05
18,594,0.05
20,207,0.05
22,218,0.05
46,178,0.05
51,208,0.05
52,483,0.05
57,197,0.05
63,408,0.05
63,408,0.05
64,260,0.05
66,445,0.05
68,194,0.05
71,402,0.05
73,198,0.05
74,202,0.05
75,1113,0.05
76,374,0.05
77,201,0.05
79,228,0.05
7,1530,0.05
10,3361,0.05
11,3112,0.05
17,1381,0.05
23,4458,0.05
23,4458,0.05
25,1444,0.05
33,1280,0.05
37,732,0.05
38,2794,0.05
40,2251,0.05
64,2157,0.05
66,3183,0.05
68,2355,0.05
70,2044,0.05
71,1207,0.05
72,1777,0.05
76,2447,0.05
78,1059,0.05
80,1231,0.05
81,4329,0.05
8,1618,0.05
11,2070,0.05
16,1155,0.05
17,1341,0.05
20,1047,0.05
45,1563,0.05
48,1205,0.05
50,915,0.05
51,1773,0.05
53,1661,0.05
54,3386,0.05
57,1239,0.05
59,2162,0.05
62,767,0.05
63,955,0.05
63,955,0.05
66,1245,0.05
71,902,0.05
75,1205,0.05
76,1784,0.05
83,2137,0.05
83,2137,0.05
4,3167,0.05
8,7067,0.05
11,3230,0.05
12,1672,0.05
14,1438,0.05
15,4674,0.05
16,3769,0.05
18,1329,0.05
19,2015,0.05
22,1931,0.05
25,728,0.05
28,1967,0.05
36,3712,0.05
42,2156,0.05
43,3835,0.05
43,3835,0.05
65,2318,0.05
69,1068,0.05
70,452,0.05
75,909,0.05
81,1863,0.05
24,1459,0.05
26,1611,0.05
27,2711,0.05
29,1280,0.05
35,512,0.05
36,406,0.05
37,2188,0.05
38,843,0.05
42,1805,0.05
43,370,0.05
43,370,0.05
48,406,0.05
55,599,0.05
57,293,0.05
61,532,0.05
63,388,0.05
63,388,0.05
71,835,0.05
74,385,0.05
75,3168,0.05
77,358,0.05
82,1446,0.05
4,4024,0.05
5,3581,0.05
7,2342,0.05
8,6236,0.05
12,7426,0.05
14,3475,0.05
18,2398,0.05
20,3854,0.05
21,6496,0.05
22,4695,0.05
24,1292,0.05
26,4370,0.05
27,3699,0.05
33,9373,0.05
39,1546,0.05
47,1432,0.05
49,2454,0.05
51,1511,0.05
52,9191,0.05
63,1337,0.05
63,1337,0.05
7,164,0.05
13,153,0.05
17,148,0.05
18,163,0.05
21,198,0.05
25,181,0.05
27,200,0.05
28,202,0.05
30,210,0.05
31,191,0.05
34,195,0.05
35,227,0.05
36,197,0.05
39,186,0.05
41,183,0.05
46,208,0.05
50,224,0.05
51,249,0.05
54,156,0.05
62,414,0.05
