mjd,mag,magerr
6,285,0.05
7,290,0.05
8,367,0.05
10,432,0.05
12,225,0.05
17,260,0.05
19,1255,0.05
21,426,0.05
22,317,0.05
23,428,0.05
23,428,0.05
45,439,0.05
50,257,0.05
55,968,0.05
58,190,0.05
59,366,0.05
64,204,0.05
67,226,0.05
71,182,0.05
78,254,0.05
80,207,0.05
24,1169,0.05
28,375,0.05
29,2139,0.05
30,435,0.05
31,256,0.05
32,298,0.05
34,325,0.05
37,334,0.05
40,354,0.05
42,252,0.05
46,291,0.05
47,335,0.05
56,237,0.05
57,158,0.05
61,373,0.05
68,267,0.05
76,409,0.05
78,179,0.05
80,220,0.05
83,167,0.05
83,167,0.05
24,3134,0.05
26,1711,0.05
27,1904,0.05
29,3667,0.05
30,2463,0.05
32,4112,0.05
33,1989,0.05
35,4424,0.05
39,1572,0.05
42,3437,0.05
48,2042,0.05
49,2442,0.05
51,5279,0.05
55,1684,0.05
62,1958,0.05
74,1428,0.05
75,2584,0.05
76,2837,0.05
81,1368,0.05
83,2275,0.05
83,2275,0.05
4,3497,0.05
6,1204,0.05
11,545,0.05
13,474,0.05
16,183,0.05
17,376,0.05
19,557,0.05
20,305,0.05
21,238,0.05
23,319,0.05
23,319,0.05
27,233,0.05
30,364,0.05
35,416,0.05
38,608,0.05
43,192,0.05
43,192,0.05
45,514,0.05
52,469,0.05
53,495,0.05
58,231,0.05
59,176,0.05
6,1296,0.05
8,172,0.05
13,234,0.05
17,1016,0.05
18,391,0.05
45,265,0.05
46,297,0.05
48,250,0.05
49,250,0.05
50,172,0.05
51,328,0.05
52,671,0.05
59,266,0.05
61,297,0.05
63,266,0.05
63,266,0.05
65,266,0.05
73,125,0.05
75,313,0.05
80,343,0.05
82,328,0.05
4,3839,0.05
7,5999,0.05
11,1886,0.05
13,3518,0.05
18,4762,0.05
32,1623,0.05
36,5193,0.05
37,1752,0.05
38,5019,0.05
43,2085,0.05
43,2085,0.05
47,2756,0.05
48,1072,0.05
50,1513,0.05
51,961,0.05
52,2759,0.05
54,2054,0.05
56,3179,0.05
59,3497,0.05
61,1818,0.05
62,1081,0.05
8,494,0.05
10,400,0.05
12,1749,0.05
15,228,0.05
16,1816,0.05
24,323,0.05
28,1868,0.05
30,319,0.05
33,341,0.05
35,307,0.05
39,200,0.05
40,205,0.05
41,272,0.05
42,158,0.05
43,298,0.05
43,298,0.05
67,166,0.05
69,374,0.05
76,173,0.05
77,385,0.05
79,159,0.05
11,818,0.05
13,586,0.05
14,201,0.05
16,318,0.05
17,206,0.05
24,1355,0.05
25,835,0.05
27,239,0.05
28,288,0.05
29,199,0.05
33,266,0.05
36,311,0.05
39,493,0.05
41,197,0.05
42,170,0.05
44,189,0.05
45,159,0.05
56,165,0.05
58,200,0.05
60,208,0.05
4,1979,0.05
5,3278,0.05
6,2335,0.05
8,2743,0.05
15,1540,0.05
26,1377,0.05
29,1818,0.05
30,1043,0.05
35,720,0.05
42,1669,0.05
44,1921,0.05
47,1811,0.05
49,3445,0.05
50,1506,0.05
53,1471,0.05
54,1098,0.05
55,2307,0.05
56,2029,0.05
58,1171,0.05
60,1519,0.05
6,1418,0.05
10,2656,0.05
13,3905,0.05
18,4342,0.05
21,1363,0.05
25,1499,0.05
28,1499,0.05
29,1071,0.05
32,1027,0.05
33,1291,0.05
34,1331,0.05
35,1125,0.05
36,879,0.05
39,1298,0.05
40,1339,0.05
68,1196,0.05
70,976,0.05
73,718,0.05
74,747,0.05
77,806,0.05
24,3772,0.05
26,3635,0.05
29,2205,0.05
39,3049,0.05
41,2260,0.05
47,3264,0.05
48,2417,0.05
49,1406,0.05
50,2091,0.05
54,1970,0.05
55,1372,0.05
56,1309,0.05
58,1080,0.05
61,2453,0.05
62,949,0.05
71,491,0.05
76,1519,0.05
77,1574,0.05
78,1816,0.05
83,2482,0.05
83,2482,0.05
6,1139,0.05
7,1450,0.05
9,2603,0.05
12,1360,0.05
13,865,0.05
14,595,0.05
18,1413,0.05
20,1054,0.05
21,1020,0.05
22,1078,0.05
54,2494,0.05
56,713,0.05
58,1188,0.05
60,265,0.05
62,282,0.05
68,320,0.05
70,1520,0.05
73,683,0.05
78,311,0.05
83,286,0.05
83,286,0.05
28,2120,0.05
32,12896,0.05
36,3398,0.05
37,2003,0.05
38,9885,0.05
48,7756,0.05
55,2949,0.05
57,2367,0.05
59,4934,0.05
61,2075,0.05
64,2186,0.05
65,1744,0.05
67,5875,0.05
69,7470,0.05
71,1836,0.05
72,2057,0.05
73,2599,0.05
75,8286,0.05
76,1565,0.05
82,6079,0.05
9,159,0.05
11,153,0.05
12,195,0.05
14,204,0.05
15,186,0.05
45,218,0.05
49,183,0.05
53,255,0.05
56,576,0.05
59,220,0.05
64,236,0.05
66,208,0.05
67,192,0.05
68,216,0.05
71,201,0.05
72,215,0.05
74,199,0.05
75,227,0.05
77,192,0.05
81,264,0.05
