mjd,mag,magerr
24,196,0.05
25,275,0.05
26,207,0.05
28,398,0.05
29,276,0.05
30,281,0.05
32,277,0.05
39,341,0.05
42,237,0.05
43,203,0.05
43,203,0.05
44,208,0.05
53,209,0.05
56,240,0.05
60,264,0.05
61,231,0.05
66,191,0.05
69,211,0.05
75,191,0.05
76,163,0.05
79,212,0.05
6,1300,0.05
10,1837,0.05
11,830,0.05
12,483,0.05
14,554,0.05
15,635,0.05
17,368,0.05
18,401,0.05
19,348,0.05
23,336,0.05
23,336,0.05
45,289,0.05
51,1414,0.05
53,1238,0.05
54,1675,0.05
55,1793,0.05
64,1981,0.05
74,104,0.05
75,422,0.05
81,5,0.05
82,248,0.05
5,2057,0.05
6,2329,0.05
10,1497,0.05
13,3130,0.05
15,2959,0.05
16,4102,0.05
17,2896,0.05
18,1898,0.05
19,1894,0.05
23,1264,0.05
23,1264,0.05
44,1966,0.05
53,3043,0.05
57,1684,0.05
60,2380,0.05
61,906,0.05
66,1195,0.05
67,1053,0.05
70,1064,0.05
79,2295,0.05
80,1822,0.05
28,446,0.05
31,326,0.05
39,563,0.05
40,628,0.05
42,411,0.05
46,511,0.05
50,612,0.05
55,537,0.05
57,334,0.05
63,512,0.05
63,512,0.05
66,208,0.05
67,352,0.05
68,199,0.05
70,200,0.05
73,356,0.05
74,468,0.05
77,209,0.05
78,223,0.05
80,1256,0.05
82,134,0.05
9,391,0.05
11,328,0.05
12,219,0.05
19,282,0.05
22,188,0.05
24,359,0.05
26,265,0.05
27,328,0.05
32,281,0.05
33,313,0.05
34,219,0.05
36,313,0.05
38,250,0.05
39,250,0.05
40,266,0.05
67,296,0.05
68,281,0.05
69,313,0.05
76,265,0.05
81,281,0.05
5,2954,0.05
14,3349,0.05
15,1858,0.05
20,2798,0.05
23,3379,0.05
23,3379,0.05
24,1947,0.05
28,2048,0.05
33,1957,0.05
39,4218,0.05
42,1477,0.05
65,2165,0.05
67,3707,0.05
68,2305,0.05
70,1006,0.05
72,2003,0.05
74,2572,0.05
75,3317,0.05
78,2680,0.05
79,3815,0.05
83,4497,0.05
83,4497,0.05
5,1133,0.05
6,1583,0.05
9,2313,0.05
17,336,0.05
18,296,0.05
44,165,0.05
46,200,0.05
47,172,0.05
49,333,0.05
51,157,0.05
56,154,0.05
57,118,0.05
60,159,0.05
61,130,0.05
62,318,0.05
64,168,0.05
70,220,0.05
71,271,0.05
72,181,0.05
78,189,0.05
4,1625,0.05
8,813,0.05
10,622,0.05
15,400,0.05
21,187,0.05
47,336,0.05
49,177,0.05
50,202,0.05
59,437,0.05
62,330,0.05
65,191,0.05
67,205,0.05
69,252,0.05
70,363,0.05
72,238,0.05
78,582,0.05
80,510,0.05
81,251,0.05
82,295,0.05
83,222,0.05
83,222,0.05
13,7725,0.05
16,1752,0.05
18,1721,0.05
19,3363,0.05
20,1876,0.05
31,289,0.05
34,1525,0.05
39,2350,0.05
41,2430,0.05
43,1336,0.05
43,1336,0.05
65,1362,0.05
67,2218,0.05
69,2376,0.05
73,1299,0.05
74,1724,0.05
75,3074,0.05
77,1949,0.05
79,1799,0.05
82,1453,0.05
83,1012,0.05
83,1012,0.05
5,2814,0.05
7,1305,0.05
9,1287,0.05
15,1605,0.05
23,3973,0.05
23,3973,0.05
44,1665,0.05
46,2045,0.05
47,1568,0.05
49,896,0.05
52,842,0.05
55,1269,0.05
56,789,0.05
58,913,0.05
60,2356,0.05
61,927,0.05
64,604,0.05
67,639,0.05
78,919,0.05
80,751,0.05
81,1219,0.05
5,2644,0.05
6,966,0.05
7,1032,0.05
9,2136,0.05
10,2852,0.05
13,3243,0.05
17,1384,0.05
20,2052,0.05
21,2958,0.05
23,1660,0.05
23,1660,0.05
32,1410,0.05
33,682,0.05
37,818,0.05
38,4523,0.05
40,449,0.05
64,350,0.05
66,2065,0.05
67,1691,0.05
72,3201,0.05
80,829,0.05
25,1599,0.05
28,1511,0.05
30,2587,0.05
31,1254,0.05
32,2915,0.05
33,362,0.05
34,451,0.05
39,479,0.05
40,422,0.05
41,928,0.05
44,1676,0.05
45,1903,0.05
49,1062,0.05
52,2392,0.05
59,395,0.05
66,1588,0.05
69,423,0.05
72,1150,0.05
76,1966,0.05
80,256,0.05
6,2078,0.05
9,4863,0.05
10,3257,0.05
11,1548,0.05
13,1927,0.05
15,3616,0.05
16,8837,0.05
17,1318,0.05
19,2388,0.05
23,2084,0.05
23,2084,0.05
29,4042,0.05
34,5192,0.05
40,967,0.05
41,957,0.05
43,900,0.05
43,900,0.05
45,5659,0.05
46,1645,0.05
56,1405,0.05
58,2630,0.05
60,1951,0.05
4,177,0.05
8,169,0.05
10,176,0.05
22,220,0.05
23,226,0.05
23,226,0.05
24,219,0.05
26,206,0.05
29,276,0.05
32,219,0.05
33,197,0.05
37,189,0.05
38,201,0.05
40,176,0.05
42,195,0.05
43,2096,0.05
43,2096,0.05
44,206,0.05
47,826,0.05
55,191,0.05
58,270,0.05
60,274,0.05
