mjd,mag,magerr
4,992,0.05
5,183,0.05
9,591,0.05
11,276,0.05
13,178,0.05
14,181,0.05
15,164,0.05
16,198,0.05
18,205,0.05
20,1396,0.05
46,183,0.05
47,204,0.05
49,178,0.05
51,240,0.05
62,212,0.05
65,421,0.05
70,214,0.05
72,195,0.05
73,175,0.05
83,202,0.05
83,202,0.05
25,369,0.05
26,376,0.05
27,1272,0.05
33,430,0.05
35,201,0.05
36,1378,0.05
38,356,0.05
39,138,0.05
41,251,0.05
43,590,0.05
43,590,0.05
49,195,0.05
52,4055,0.05
59,1029,0.05
60,1790,0.05
63,235,0.05
63,235,0.05
66,105,0.05
67,123,0.05
69,81,0.05
73,197,0.05
79,140,0.05
25,5368,0.05
28,3375,0.05
31,2830,0.05
34,6588,0.05
36,1936,0.05
37,2202,0.05
38,1671,0.05
40,7243,0.05
41,1260,0.05
43,3177,0.05
43,3177,0.05
47,4216,0.05
50,2285,0.05
56,1484,0.05
58,1547,0.05
59,1145,0.05
68,1384,0.05
71,1953,0.05
72,2272,0.05
77,1823,0.05
78,1466,0.05
5,498,0.05
7,551,0.05
8,277,0.05
9,335,0.05
10,305,0.05
12,315,0.05
14,419,0.05
15,234,0.05
18,278,0.05
22,267,0.05
25,299,0.05
26,249,0.05
32,273,0.05
33,471,0.05
41,617,0.05
44,777,0.05
47,319,0.05
48,678,0.05
60,309,0.05
62,341,0.05
5,1157,0.05
14,203,0.05
15,547,0.05
16,218,0.05
20,532,0.05
44,156,0.05
47,188,0.05
53,234,0.05
54,125,0.05
55,172,0.05
56,172,0.05
57,343,0.05
58,203,0.05
60,172,0.05
62,235,0.05
66,187,0.05
74,172,0.05
77,187,0.05
78,172,0.05
83,156,0.05
83,156,0.05
6,4723,0.05
8,5190,0.05
17,2370,0.05
19,3645,0.05
22,3191,0.05
25,3351,0.05
26,1611,0.05
27,2683,0.05
29,2320,0.05
31,1402,0.05
44,1751,0.05
45,1891,0.05
46,7747,0.05
49,2216,0.05
53,2004,0.05
55,3233,0.05
57,3210,0.05
58,973,0.05
60,2143,0.05
63,1631,0.05
63,1631,0.05
7,656,0.05
13,2079,0.05
14,1680,0.05
20,2133,0.05
22,233,0.05
25,239,0.05
26,220,0.05
27,177,0.05
29,155,0.05
31,159,0.05
32,1511,0.05
34,246,0.05
36,138,0.05
37,186,0.05
38,152,0.05
65,270,0.05
68,205,0.05
74,225,0.05
75,166,0.05
83,203,0.05
83,203,0.05
5,2754,0.05
6,2222,0.05
9,1930,0.05
19,724,0.05
23,386,0.05
23,386,0.05
26,3514,0.05
30,928,0.05
31,452,0.05
32,1480,0.05
34,775,0.05
35,708,0.05
37,261,0.05
38,237,0.05
40,201,0.05
43,814,0.05
43,814,0.05
48,601,0.05
53,596,0.05
54,685,0.05
55,464,0.05
61,174,0.05
9,3631,0.05
12,2392,0.05
14,1517,0.05
21,1392,0.05
22,1000,0.05
24,2413,0.05
27,2416,0.05
28,1463,0.05
32,4005,0.05
36,1784,0.05
45,1343,0.05
46,2349,0.05
48,1912,0.05
51,2140,0.05
52,1752,0.05
57,3327,0.05
59,2343,0.05
61,2641,0.05
62,3092,0.05
63,4230,0.05
63,4230,0.05
4,1872,0.05
12,1040,0.05
14,1691,0.05
19,1067,0.05
22,1854,0.05
24,1453,0.05
26,1805,0.05
27,1053,0.05
30,919,0.05
31,1020,0.05
37,1540,0.05
38,4122,0.05
41,1279,0.05
42,906,0.05
43,1415,0.05
43,1415,0.05
65,2166,0.05
69,1011,0.05
72,3851,0.05
79,2202,0.05
82,2488,0.05
27,1715,0.05
30,3585,0.05
31,1950,0.05
34,4264,0.05
35,6748,0.05
44,1417,0.05
45,4942,0.05
46,3098,0.05
51,1676,0.05
52,3266,0.05
53,4369,0.05
57,1806,0.05
59,1442,0.05
60,4822,0.05
63,824,0.05
63,824,0.05
68,2660,0.05
73,1924,0.05
74,3703,0.05
79,3140,0.05
82,1488,0.05
4,3513,0.05
5,2269,0.05
8,1640,0.05
10,1749,0.05
11,3110,0.05
15,736,0.05
16,459,0.05
17,1399,0.05
19,1384,0.05
23,1405,0.05
23,1405,0.05
46,2105,0.05
47,1884,0.05
50,809,0.05
51,302,0.05
53,510,0.05
64,619,0.05
65,255,0.05
67,557,0.05
79,513,0.05
81,976,0.05
25,2504,0.05
30,9103,0.05
31,2364,0.05
35,3831,0.05
42,4902,0.05
44,1982,0.05
50,1976,0.05
53,6374,0.05
54,2443,0.05
62,12665,0.05
66,2233,0.05
68,3937,0.05
70,2739,0.05
74,2634,0.05
77,1994,0.05
78,3138,0.05
79,2048,0.05
80,2558,0.05
81,3076,0.05
83,4805,0.05
83,4805,0.05
5,191,0.05
6,209,0.05
16,219,0.05
19,210,0.05
20,209,0.05
48,192,0.05
52,199,0.05
57,297,0.05
61,240,0.05
63,399,0.05
63,399,0.05
65,240,0.05
69,221,0.05
70,218,0.05
73,245,0.05
76,208,0.05
78,248,0.05
79,207,0.05
80,230,0.05
82,239,0.05
83,255,0.05
83,255,0.05
