mjd,mag,magerr
27,192,0.05
31,212,0.05
33,236,0.05
34,406,0.05
35,199,0.05
36,300,0.05
37,415,0.05
38,456,0.05
40,974,0.05
41,273,0.05
48,293,0.05
52,212,0.05
54,249,0.05
57,291,0.05
63,218,0.05
63,218,0.05
68,196,0.05
74,229,0.05
77,164,0.05
81,219,0.05
82,204,0.05
4,1741,0.05
5,1179,0.05
7,1432,0.05
8,928,0.05
9,800,0.05
13,1626,0.05
16,501,0.05
20,342,0.05
21,330,0.05
22,271,0.05
44,327,0.05
48,251,0.05
50,1423,0.05
58,3777,0.05
62,2265,0.05
65,281,0.05
70,111,0.05
71,127,0.05
72,127,0.05
77,186,0.05
4,2573,0.05
7,3093,0.05
8,1604,0.05
9,3591,0.05
11,3065,0.05
12,2196,0.05
14,2335,0.05
20,1425,0.05
21,2876,0.05
22,4037,0.05
45,2456,0.05
46,3032,0.05
52,3236,0.05
54,1715,0.05
63,2472,0.05
63,2472,0.05
64,1002,0.05
65,2657,0.05
69,2283,0.05
73,1516,0.05
82,1572,0.05
24,837,0.05
29,1493,0.05
34,717,0.05
36,477,0.05
37,351,0.05
49,593,0.05
51,379,0.05
54,215,0.05
56,232,0.05
61,328,0.05
64,355,0.05
65,310,0.05
69,252,0.05
71,242,0.05
72,211,0.05
75,515,0.05
76,326,0.05
79,183,0.05
81,393,0.05
83,247,0.05
83,247,0.05
4,250,0.05
7,1593,0.05
10,578,0.05
21,125,0.05
23,172,0.05
23,172,0.05
25,156,0.05
28,187,0.05
29,547,0.05
30,266,0.05
31,329,0.05
35,187,0.05
37,219,0.05
41,187,0.05
42,109,0.05
43,188,0.05
43,188,0.05
64,109,0.05
70,203,0.05
71,156,0.05
72,172,0.05
79,188,0.05
9,8833,0.05
10,3077,0.05
12,1812,0.05
16,3185,0.05
21,1904,0.05
30,2161,0.05
34,2184,0.05
35,2970,0.05
40,2573,0.05
41,2153,0.05
64,2739,0.05
66,2087,0.05
69,2234,0.05
71,2918,0.05
73,2929,0.05
76,1722,0.05
77,860,0.05
80,3007,0.05
81,811,0.05
82,3461,0.05
4,2364,0.05
11,2334,0.05
19,153,0.05
21,242,0.05
23,222,0.05
23,222,0.05
45,115,0.05
48,136,0.05
50,136,0.05
52,151,0.05
53,160,0.05
54,144,0.05
55,122,0.05
58,141,0.05
59,138,0.05
63,163,0.05
63,163,0.05
66,155,0.05
73,139,0.05
80,215,0.05
81,197,0.05
82,146,0.05
7,1096,0.05
12,1741,0.05
18,462,0.05
20,517,0.05
22,378,0.05
46,380,0.05
51,247,0.05
52,269,0.05
57,736,0.05
63,201,0.05
63,201,0.05
64,389,0.05
66,441,0.05
68,242,0.05
71,252,0.05
73,451,0.05
74,1476,0.05
75,166,0.05
76,199,0.05
77,449,0.05
79,244,0.05
7,4589,0.05
10,3220,0.05
11,4691,0.05
17,3236,0.05
23,2254,0.05
23,2254,0.05
25,2143,0.05
33,1713,0.05
37,1214,0.05
38,2082,0.05
40,1507,0.05
64,3483,0.05
66,2438,0.05
68,2250,0.05
70,1682,0.05
71,1922,0.05
72,3154,0.05
76,3220,0.05
78,1883,0.05
80,1484,0.05
81,4499,0.05
8,2612,0.05
11,2532,0.05
16,3447,0.05
17,2893,0.05
20,1471,0.05
45,1078,0.05
48,2754,0.05
50,648,0.05
51,2205,0.05
53,3983,0.05
54,2224,0.05
57,1311,0.05
59,4938,0.05
62,1582,0.05
63,1627,0.05
63,1627,0.05
66,1718,0.05
71,1158,0.05
75,1038,0.05
76,1381,0.05
83,896,0.05
83,896,0.05
4,2631,0.05
8,4469,0.05
11,4231,0.05
12,3417,0.05
14,3499,0.05
15,2817,0.05
16,2565,0.05
18,4966,0.05
19,1880,0.05
22,2920,0.05
25,1606,0.05
28,7857,0.05
36,2675,0.05
42,2101,0.05
43,2003,0.05
43,2003,0.05
65,2250,0.05
69,1407,0.05
70,1563,0.05
75,1472,0.05
81,10249,0.05
24,1618,0.05
26,1429,0.05
27,2286,0.05
29,2235,0.05
35,378,0.05
36,800,0.05
37,628,0.05
38,1374,0.05
42,2176,0.05
43,439,0.05
43,439,0.05
48,426,0.05
55,667,0.05
57,732,0.05
61,2347,0.05
63,226,0.05
63,226,0.05
71,1398,0.05
74,649,0.05
75,2128,0.05
77,222,0.05
82,1954,0.05
4,2670,0.05
5,4565,0.05
7,4406,0.05
8,3651,0.05
12,4612,0.05
14,2988,0.05
18,3073,0.05
20,3460,0.05
21,5665,0.05
22,4062,0.05
24,2169,0.05
26,2786,0.05
27,3699,0.05
33,2402,0.05
39,2561,0.05
47,1775,0.05
49,2629,0.05
51,4279,0.05
52,3661,0.05
63,2901,0.05
63,2901,0.05
7,226,0.05
13,256,0.05
17,168,0.05
18,204,0.05
21,173,0.05
25,213,0.05
27,262,0.05
28,220,0.05
30,207,0.05
31,223,0.05
34,228,0.05
35,167,0.05
36,201,0.05
39,210,0.05
41,215,0.05
46,183,0.05
50,215,0.05
51,190,0.05
54,265,0.05
62,374,0.05
