mjd,mag,magerr
6,587,0.05
7,353,0.05
8,195,0.05
10,199,0.05
12,196,0.05
17,528,0.05
19,163,0.05
21,335,0.05
22,208,0.05
23,245,0.05
23,245,0.05
45,309,0.05
50,218,0.05
55,291,0.05
58,184,0.05
59,272,0.05
64,183,0.05
67,173,0.05
71,154,0.05
78,178,0.05
80,228,0.05
24,485,0.05
28,338,0.05
29,1417,0.05
30,852,0.05
31,284,0.05
32,252,0.05
34,294,0.05
37,227,0.05
40,132,0.05
42,232,0.05
46,249,0.05
47,308,0.05
56,331,0.05
57,204,0.05
61,644,0.05
68,204,0.05
76,155,0.05
78,89,0.05
80,223,0.05
83,200,0.05
83,200,0.05
24,2351,0.05
26,1898,0.05
27,3661,0.05
29,2636,0.05
30,2733,0.05
32,1939,0.05
33,3786,0.05
35,972,0.05
39,1219,0.05
42,5230,0.05
48,2445,0.05
49,2391,0.05
51,2426,0.05
55,3122,0.05
62,1960,0.05
74,2362,0.05
75,3302,0.05
76,3246,0.05
81,1968,0.05
83,1868,0.05
83,1868,0.05
4,2838,0.05
6,2158,0.05
11,552,0.05
13,711,0.05
16,222,0.05
17,233,0.05
19,267,0.05
20,288,0.05
21,275,0.05
23,306,0.05
23,306,0.05
27,285,0.05
30,443,0.05
35,460,0.05
38,513,0.05
43,172,0.05
43,172,0.05
45,314,0.05
52,400,0.05
53,633,0.05
58,120,0.05
59,250,0.05
6,2438,0.05
8,203,0.05
13,219,0.05
17,203,0.05
18,172,0.05
45,172,0.05
46,218,0.05
48,266,0.05
49,172,0.05
50,156,0.05
51,172,0.05
52,672,0.05
59,172,0.05
61,218,0.05
63,157,0.05
63,157,0.05
65,172,0.05
73,172,0.05
75,156,0.05
80,188,0.05
82,125,0.05
4,4197,0.05
7,8066,0.05
11,2452,0.05
13,1937,0.05
18,2605,0.05
32,1703,0.05
36,1652,0.05
37,3238,0.05
38,1729,0.05
43,6856,0.05
43,6856,0.05
47,2714,0.05
48,4095,0.05
50,1741,0.05
51,5076,0.05
52,1682,0.05
54,2011,0.05
56,2974,0.05
59,1231,0.05
61,2022,0.05
62,4969,0.05
8,390,0.05
10,399,0.05
12,3204,0.05
15,130,0.05
16,1672,0.05
24,194,0.05
28,904,0.05
30,155,0.05
33,352,0.05
35,169,0.05
39,135,0.05
40,120,0.05
41,151,0.05
42,131,0.05
43,137,0.05
43,137,0.05
67,294,0.05
69,207,0.05
76,152,0.05
77,196,0.05
79,141,0.05
11,994,0.05
13,1364,0.05
14,1084,0.05
16,1158,0.05
17,296,0.05
24,1416,0.05
25,858,0.05
27,1280,0.05
28,1391,0.05
29,859,0.05
33,1218,0.05
36,369,0.05
39,212,0.05
41,483,0.05
42,536,0.05
44,336,0.05
45,496,0.05
56,251,0.05
58,241,0.05
60,178,0.05
4,5881,0.05
5,8213,0.05
6,8539,0.05
8,5856,0.05
15,1926,0.05
26,2378,0.05
29,3234,0.05
30,1918,0.05
35,1119,0.05
42,2349,0.05
44,1552,0.05
47,2466,0.05
49,6883,0.05
50,2820,0.05
53,1548,0.05
54,1597,0.05
55,3260,0.05
56,2471,0.05
58,2523,0.05
60,1127,0.05
6,1418,0.05
10,4604,0.05
13,5826,0.05
18,1678,0.05
21,2126,0.05
25,1078,0.05
28,1224,0.05
29,1075,0.05
32,2029,0.05
33,1141,0.05
34,2307,0.05
35,927,0.05
36,1943,0.05
39,660,0.05
40,940,0.05
68,1907,0.05
70,1611,0.05
73,2756,0.05
74,1794,0.05
77,1310,0.05
24,4551,0.05
26,5553,0.05
29,1122,0.05
39,2518,0.05
41,2631,0.05
47,1598,0.05
48,850,0.05
49,2458,0.05
50,1610,0.05
54,2195,0.05
55,1695,0.05
56,2375,0.05
58,2982,0.05
61,2900,0.05
62,2351,0.05
71,1553,0.05
76,32133,0.05
77,2098,0.05
78,3924,0.05
83,1398,0.05
83,1398,0.05
6,1305,0.05
7,2517,0.05
9,2607,0.05
12,1662,0.05
13,2263,0.05
14,1044,0.05
18,3492,0.05
20,563,0.05
21,1641,0.05
22,1098,0.05
54,2472,0.05
56,2218,0.05
58,2304,0.05
60,721,0.05
62,272,0.05
68,1843,0.05
70,1417,0.05
73,1023,0.05
78,202,0.05
83,1609,0.05
83,1609,0.05
28,3855,0.05
32,2080,0.05
36,4603,0.05
37,2682,0.05
38,2504,0.05
48,1506,0.05
55,4474,0.05
57,6991,0.05
59,2664,0.05
61,2257,0.05
64,2949,0.05
65,2426,0.05
67,2953,0.05
69,6699,0.05
71,10311,0.05
72,4742,0.05
73,1788,0.05
75,2796,0.05
76,5675,0.05
82,3005,0.05
9,206,0.05
11,222,0.05
12,237,0.05
14,321,0.05
15,283,0.05
45,235,0.05
49,231,0.05
53,317,0.05
56,116,0.05
59,220,0.05
64,222,0.05
66,222,0.05
67,207,0.05
68,216,0.05
71,280,0.05
72,211,0.05
74,259,0.05
75,219,0.05
77,246,0.05
81,196,0.05
