mjd,mag,magerr
24,202,0.05
25,257,0.05
26,283,0.05
28,243,0.05
29,195,0.05
30,277,0.05
32,208,0.05
39,257,0.05
42,292,0.05
43,162,0.05
43,162,0.05
44,273,0.05
53,198,0.05
56,251,0.05
60,376,0.05
61,173,0.05
66,193,0.05
69,176,0.05
75,179,0.05
76,9,0.05
79,186,0.05
6,2357,0.05
10,1893,0.05
11,977,0.05
12,542,0.05
14,398,0.05
15,1397,0.05
17,345,0.05
18,252,0.05
19,327,0.05
23,294,0.05
23,294,0.05
45,348,0.05
51,2009,0.05
53,1224,0.05
54,2345,0.05
55,2131,0.05
64,1837,0.05
74,145,0.05
75,152,0.05
81,17,0.05
82,211,0.05
5,1688,0.05
6,4308,0.05
10,3546,0.05
13,5052,0.05
15,5096,0.05
16,1964,0.05
17,2270,0.05
18,2565,0.05
19,4187,0.05
23,2279,0.05
23,2279,0.05
44,693,0.05
53,1568,0.05
57,2943,0.05
60,1468,0.05
61,3011,0.05
66,2339,0.05
67,1797,0.05
70,1784,0.05
79,1858,0.05
80,2209,0.05
28,565,0.05
31,360,0.05
39,620,0.05
40,550,0.05
42,420,0.05
46,314,0.05
50,746,0.05
55,337,0.05
57,243,0.05
63,621,0.05
63,621,0.05
66,234,0.05
67,360,0.05
68,177,0.05
70,367,0.05
73,283,0.05
74,251,0.05
77,196,0.05
78,225,0.05
80,334,0.05
82,206,0.05
9,234,0.05
11,203,0.05
12,172,0.05
19,235,0.05
22,188,0.05
24,203,0.05
26,218,0.05
27,203,0.05
32,250,0.05
33,141,0.05
34,203,0.05
36,171,0.05
38,203,0.05
39,172,0.05
40,187,0.05
67,172,0.05
68,141,0.05
69,157,0.05
76,422,0.05
81,172,0.05
5,5456,0.05
14,2974,0.05
15,4536,0.05
20,2842,0.05
23,2231,0.05
23,2231,0.05
24,2956,0.05
28,2708,0.05
33,1609,0.05
39,4758,0.05
42,3590,0.05
65,1639,0.05
67,1183,0.05
68,2933,0.05
70,3429,0.05
72,2360,0.05
74,2878,0.05
75,2161,0.05
78,2095,0.05
79,2046,0.05
83,1187,0.05
83,1187,0.05
5,1896,0.05
6,2151,0.05
9,1843,0.05
17,238,0.05
18,183,0.05
44,142,0.05
46,139,0.05
47,135,0.05
49,155,0.05
51,133,0.05
56,132,0.05
57,144,0.05
60,142,0.05
61,140,0.05
62,158,0.05
64,197,0.05
70,193,0.05
71,222,0.05
72,175,0.05
78,135,0.05
4,2590,0.05
8,243,0.05
10,809,0.05
15,1158,0.05
21,371,0.05
47,434,0.05
49,293,0.05
50,329,0.05
59,242,0.05
62,193,0.05
65,242,0.05
67,225,0.05
69,186,0.05
70,181,0.05
72,415,0.05
78,219,0.05
80,261,0.05
81,229,0.05
82,256,0.05
83,374,0.05
83,374,0.05
13,3746,0.05
16,1934,0.05
18,2069,0.05
19,2128,0.05
20,2445,0.05
31,3078,0.05
34,4726,0.05
39,2527,0.05
41,3335,0.05
43,3485,0.05
43,3485,0.05
65,3409,0.05
67,2147,0.05
69,2728,0.05
73,5148,0.05
74,2961,0.05
75,4192,0.05
77,4701,0.05
79,3458,0.05
82,1375,0.05
83,1366,0.05
83,1366,0.05
5,602,0.05
7,327,0.05
9,1471,0.05
15,976,0.05
23,1539,0.05
23,1539,0.05
44,1764,0.05
46,1331,0.05
47,1632,0.05
49,1653,0.05
52,682,0.05
55,1011,0.05
56,851,0.05
58,1292,0.05
60,5746,0.05
61,1228,0.05
64,3504,0.05
67,1863,0.05
78,1603,0.05
80,950,0.05
81,981,0.05
5,2590,0.05
6,3385,0.05
7,4037,0.05
9,2879,0.05
10,2827,0.05
13,2939,0.05
17,3698,0.05
20,2179,0.05
21,2183,0.05
23,2833,0.05
23,2833,0.05
32,5493,0.05
33,832,0.05
37,2993,0.05
38,2237,0.05
40,1825,0.05
64,983,0.05
66,1950,0.05
67,4285,0.05
72,3093,0.05
80,831,0.05
25,1449,0.05
28,1541,0.05
30,1678,0.05
31,2221,0.05
32,993,0.05
33,917,0.05
34,375,0.05
39,754,0.05
40,417,0.05
41,588,0.05
44,1074,0.05
45,5032,0.05
49,1269,0.05
52,1205,0.05
59,398,0.05
66,4717,0.05
69,733,0.05
72,2960,0.05
76,693,0.05
80,642,0.05
6,4011,0.05
9,2496,0.05
10,6186,0.05
11,2761,0.05
13,6344,0.05
15,4034,0.05
16,3899,0.05
17,2477,0.05
19,2505,0.05
23,8374,0.05
23,8374,0.05
29,3742,0.05
34,4211,0.05
40,2493,0.05
41,2434,0.05
43,3633,0.05
43,3633,0.05
45,1895,0.05
46,5213,0.05
56,1874,0.05
58,3122,0.05
60,3972,0.05
4,172,0.05
8,208,0.05
10,191,0.05
22,216,0.05
23,230,0.05
23,230,0.05
24,209,0.05
26,229,0.05
29,196,0.05
32,178,0.05
33,243,0.05
37,201,0.05
38,238,0.05
40,218,0.05
42,241,0.05
43,220,0.05
43,220,0.05
44,188,0.05
47,655,0.05
55,222,0.05
58,199,0.05
60,238,0.05
