mjd,mag,magerr
4,3119,0.05
5,2648,0.05
9,1230,0.05
11,1368,0.05
13,1112,0.05
14,1232,0.05
15,985,0.05
16,1374,0.05
18,1319,0.05
20,1362,0.05
46,1209,0.05
47,801,0.05
49,1069,0.05
51,876,0.05
62,783,0.05
65,685,0.05
70,1462,0.05
72,784,0.05
73,1464,0.05
83,853,0.05
83,853,0.05
25,981,0.05
26,2011,0.05
27,4129,0.05
33,2898,0.05
35,2355,0.05
36,3423,0.05
38,2966,0.05
39,3746,0.05
41,3044,0.05
43,1428,0.05
43,1428,0.05
49,2111,0.05
52,2450,0.05
59,1542,0.05
60,4114,0.05
63,1673,0.05
63,1673,0.05
66,4157,0.05
67,2447,0.05
69,1783,0.05
73,1844,0.05
79,1649,0.05
25,6079,0.05
28,5161,0.05
31,6555,0.05
34,5635,0.05
36,6708,0.05
37,2396,0.05
38,3537,0.05
40,3599,0.05
41,2037,0.05
43,2139,0.05
43,2139,0.05
47,3039,0.05
50,3061,0.05
56,1623,0.05
58,1513,0.05
59,2869,0.05
68,1346,0.05
71,1640,0.05
72,1628,0.05
77,4593,0.05
78,1594,0.05
5,2413,0.05
7,1823,0.05
8,1729,0.05
9,1926,0.05
10,1850,0.05
12,917,0.05
14,2392,0.05
15,871,0.05
18,533,0.05
22,391,0.05
25,1669,0.05
26,480,0.05
32,755,0.05
33,804,0.05
41,700,0.05
44,6126,0.05
47,508,0.05
48,621,0.05
60,541,0.05
62,1211,0.05
5,469,0.05
14,375,0.05
15,469,0.05
16,656,0.05
20,844,0.05
44,1391,0.05
47,296,0.05
53,328,0.05
54,1266,0.05
55,1079,0.05
56,703,0.05
57,562,0.05
58,562,0.05
60,609,0.05
62,750,0.05
66,547,0.05
74,406,0.05
77,375,0.05
78,1219,0.05
83,313,0.05
83,313,0.05
6,4719,0.05
8,3804,0.05
17,5910,0.05
19,1889,0.05
22,2758,0.05
25,1998,0.05
26,1991,0.05
27,2981,0.05
29,2136,0.05
31,3139,0.05
44,4208,0.05
45,1845,0.05
46,2315,0.05
49,1498,0.05
53,3318,0.05
55,1896,0.05
57,1813,0.05
58,4215,0.05
60,3366,0.05
63,2728,0.05
63,2728,0.05
7,5384,0.05
13,7422,0.05
14,3500,0.05
20,4692,0.05
22,3137,0.05
25,1583,0.05
26,2705,0.05
27,3545,0.05
29,2078,0.05
31,1510,0.05
32,8256,0.05
34,2493,0.05
36,3105,0.05
37,2387,0.05
38,1989,0.05
65,1846,0.05
68,988,0.05
74,1705,0.05
75,1445,0.05
83,2702,0.05
83,2702,0.05
5,4622,0.05
6,4664,0.05
9,2779,0.05
19,2132,0.05
23,2374,0.05
23,2374,0.05
26,3203,0.05
30,2118,0.05
31,2605,0.05
32,3548,0.05
34,2158,0.05
35,3102,0.05
37,3239,0.05
38,1921,0.05
40,1100,0.05
43,2687,0.05
43,2687,0.05
48,1451,0.05
53,1221,0.05
54,2081,0.05
55,968,0.05
61,885,0.05
9,4094,0.05
12,6739,0.05
14,4297,0.05
21,12786,0.05
22,3183,0.05
24,2068,0.05
27,4429,0.05
28,1643,0.05
32,2142,0.05
36,1721,0.05
45,4180,0.05
46,2139,0.05
48,5372,0.05
51,3082,0.05
52,4564,0.05
57,1712,0.05
59,1478,0.05
61,1705,0.05
62,1040,0.05
63,5633,0.05
63,5633,0.05
4,5319,0.05
12,7607,0.05
14,10808,0.05
19,3512,0.05
22,5416,0.05
24,4391,0.05
26,4220,0.05
27,4382,0.05
30,8159,0.05
31,4364,0.05
37,7378,0.05
38,3465,0.05
41,3052,0.05
42,1715,0.05
43,2803,0.05
43,2803,0.05
65,2901,0.05
69,2945,0.05
72,4581,0.05
79,2329,0.05
82,5275,0.05
27,1745,0.05
30,4302,0.05
31,4288,0.05
34,5209,0.05
35,3736,0.05
44,5408,0.05
45,3751,0.05
46,2219,0.05
51,3626,0.05
52,7308,0.05
53,6022,0.05
57,2877,0.05
59,1749,0.05
60,2894,0.05
63,10889,0.05
63,10889,0.05
68,3347,0.05
73,5031,0.05
74,2797,0.05
79,3627,0.05
82,1403,0.05
4,4645,0.05
5,2434,0.05
8,10562,0.05
10,5179,0.05
11,10232,0.05
15,2601,0.05
16,3760,0.05
17,2808,0.05
19,1932,0.05
23,2283,0.05
23,2283,0.05
46,7408,0.05
47,3877,0.05
50,2705,0.05
51,1744,0.05
53,4973,0.05
64,3086,0.05
65,2414,0.05
67,2902,0.05
79,4013,0.05
81,2821,0.05
25,6021,0.05
30,8015,0.05
31,4552,0.05
35,14907,0.05
42,5550,0.05
44,7540,0.05
50,4325,0.05
53,2945,0.05
54,5824,0.05
62,10072,0.05
66,3298,0.05
68,2561,0.05
70,7821,0.05
74,4247,0.05
77,3268,0.05
78,3565,0.05
79,5258,0.05
80,7918,0.05
81,6629,0.05
83,3978,0.05
83,3978,0.05
5,304,0.05
6,355,0.05
16,552,0.05
19,584,0.05
20,934,0.05
48,419,0.05
52,584,0.05
57,913,0.05
61,94,0.05
63,864,0.05
63,864,0.05
65,730,0.05
69,556,0.05
70,699,0.05
73,712,0.05
76,2266,0.05
78,873,0.05
79,2524,0.05
80,778,0.05
82,3657,0.05
83,836,0.05
83,836,0.05
