mjd,mag,magerr
27,972,0.05
31,956,0.05
33,721,0.05
34,940,0.05
35,935,0.05
36,1274,0.05
37,1103,0.05
38,1049,0.05
40,965,0.05
41,808,0.05
48,1073,0.05
52,988,0.05
54,798,0.05
57,789,0.05
63,954,0.05
63,954,0.05
68,1012,0.05
74,807,0.05
77,1338,0.05
81,1109,0.05
82,1275,0.05
4,1226,0.05
5,1149,0.05
7,2299,0.05
8,1444,0.05
9,1162,0.05
13,3131,0.05
16,2207,0.05
20,1378,0.05
21,1979,0.05
22,1098,0.05
44,2067,0.05
48,1754,0.05
50,3035,0.05
58,1468,0.05
62,3718,0.05
65,1991,0.05
70,2241,0.05
71,2465,0.05
72,1818,0.05
77,1263,0.05
4,2367,0.05
7,2982,0.05
8,3081,0.05
9,4841,0.05
11,2558,0.05
12,3425,0.05
14,2328,0.05
20,5426,0.05
21,2284,0.05
22,3452,0.05
45,3302,0.05
46,2852,0.05
52,5294,0.05
54,1439,0.05
63,3047,0.05
63,3047,0.05
64,2061,0.05
65,1918,0.05
69,2887,0.05
73,1656,0.05
82,3213,0.05
24,3058,0.05
29,889,0.05
34,1487,0.05
36,2100,0.05
37,13456,0.05
49,1154,0.05
51,2012,0.05
54,869,0.05
56,1954,0.05
61,2274,0.05
64,1465,0.05
65,2410,0.05
69,1969,0.05
71,1825,0.05
72,1743,0.05
75,1897,0.05
76,1505,0.05
79,1091,0.05
81,997,0.05
83,570,0.05
83,570,0.05
4,1203,0.05
7,2437,0.05
10,781,0.05
21,672,0.05
23,578,0.05
23,578,0.05
25,562,0.05
28,610,0.05
29,671,0.05
30,656,0.05
31,609,0.05
35,406,0.05
37,454,0.05
41,359,0.05
42,1469,0.05
43,985,0.05
43,985,0.05
64,1281,0.05
70,343,0.05
71,219,0.05
72,469,0.05
79,109,0.05
9,3387,0.05
10,6084,0.05
12,5617,0.05
16,4578,0.05
21,1970,0.05
30,2945,0.05
34,2961,0.05
35,2419,0.05
40,1326,0.05
41,4016,0.05
64,2758,0.05
66,2202,0.05
69,2435,0.05
71,2125,0.05
73,1594,0.05
76,3060,0.05
77,4734,0.05
80,5584,0.05
81,2206,0.05
82,6963,0.05
4,4470,0.05
11,4677,0.05
19,1485,0.05
21,2648,0.05
23,7729,0.05
23,7729,0.05
45,1732,0.05
48,3172,0.05
50,8552,0.05
52,4380,0.05
53,2033,0.05
54,1534,0.05
55,2183,0.05
58,3651,0.05
59,5252,0.05
63,2495,0.05
63,2495,0.05
66,1631,0.05
73,1877,0.05
80,1839,0.05
81,1819,0.05
82,1912,0.05
7,3032,0.05
12,2877,0.05
18,1783,0.05
20,3677,0.05
22,2181,0.05
46,1754,0.05
51,1633,0.05
52,1225,0.05
57,967,0.05
63,3714,0.05
63,3714,0.05
64,1064,0.05
66,680,0.05
68,784,0.05
71,1193,0.05
73,3806,0.05
74,2705,0.05
75,2534,0.05
76,3606,0.05
77,1903,0.05
79,1871,0.05
7,5236,0.05
10,10498,0.05
11,2679,0.05
17,9650,0.05
23,1681,0.05
23,1681,0.05
25,1546,0.05
33,10107,0.05
37,3861,0.05
38,2905,0.05
40,4865,0.05
64,2931,0.05
66,3100,0.05
68,1875,0.05
70,1812,0.05
71,4315,0.05
72,1846,0.05
76,3506,0.05
78,5021,0.05
80,2235,0.05
81,3541,0.05
8,5934,0.05
11,7873,0.05
16,4511,0.05
17,5864,0.05
20,7183,0.05
45,7340,0.05
48,3987,0.05
50,3542,0.05
51,7387,0.05
53,5920,0.05
54,5215,0.05
57,8059,0.05
59,3866,0.05
62,7049,0.05
63,3113,0.05
63,3113,0.05
66,5337,0.05
71,5874,0.05
75,5018,0.05
76,6594,0.05
83,3347,0.05
83,3347,0.05
4,5438,0.05
8,7926,0.05
11,4201,0.05
12,9777,0.05
14,4825,0.05
15,3969,0.05
16,5985,0.05
18,1856,0.05
19,3090,0.05
22,3453,0.05
25,2495,0.05
28,4405,0.05
36,2005,0.05
42,4503,0.05
43,3378,0.05
43,3378,0.05
65,3235,0.05
69,1905,0.05
70,2174,0.05
75,2080,0.05
81,5522,0.05
24,5171,0.05
26,6300,0.05
27,3049,0.05
29,2375,0.05
35,2335,0.05
36,2210,0.05
37,2097,0.05
38,1755,0.05
42,2078,0.05
43,6192,0.05
43,6192,0.05
48,1911,0.05
55,5279,0.05
57,6510,0.05
61,4415,0.05
63,2123,0.05
63,2123,0.05
71,2851,0.05
74,4028,0.05
75,2574,0.05
77,9138,0.05
82,2467,0.05
4,4942,0.05
5,3650,0.05
7,8157,0.05
8,7366,0.05
12,3890,0.05
14,6154,0.05
18,3454,0.05
20,4586,0.05
21,3795,0.05
22,7055,0.05
24,2511,0.05
26,11054,0.05
27,3490,0.05
33,13482,0.05
39,4057,0.05
47,4349,0.05
49,3681,0.05
51,4361,0.05
52,2993,0.05
63,7892,0.05
63,7892,0.05
7,365,0.05
13,839,0.05
17,2655,0.05
18,772,0.05
21,596,0.05
25,697,0.05
27,642,0.05
28,680,0.05
30,466,0.05
31,558,0.05
34,465,0.05
35,1132,0.05
36,1781,0.05
39,686,0.05
41,535,0.05
46,497,0.05
50,617,0.05
51,691,0.05
54,985,0.05
62,1044,0.05
