mjd,mag,magerr
6,1545,0.05
7,2639,0.05
8,1173,0.05
10,1132,0.05
12,1014,0.05
17,2267,0.05
19,1379,0.05
21,1013,0.05
22,834,0.05
23,802,0.05
23,802,0.05
45,920,0.05
50,589,0.05
55,1878,0.05
58,609,0.05
59,613,0.05
64,1029,0.05
67,1175,0.05
71,720,0.05
78,1262,0.05
80,623,0.05
24,1784,0.05
28,1109,0.05
29,3894,0.05
30,2071,0.05
31,1567,0.05
32,1465,0.05
34,1962,0.05
37,1147,0.05
40,3166,0.05
42,1610,0.05
46,2071,0.05
47,2001,0.05
56,2133,0.05
57,1224,0.05
61,5965,0.05
68,3407,0.05
76,1376,0.05
78,2821,0.05
80,3268,0.05
83,1511,0.05
83,1511,0.05
24,4903,0.05
26,1402,0.05
27,5196,0.05
29,3901,0.05
30,4275,0.05
32,3573,0.05
33,4364,0.05
35,3947,0.05
39,2192,0.05
42,2434,0.05
48,1703,0.05
49,2203,0.05
51,2224,0.05
55,3365,0.05
62,6037,0.05
74,1295,0.05
75,2730,0.05
76,3759,0.05
81,4191,0.05
83,3511,0.05
83,3511,0.05
4,3094,0.05
6,3496,0.05
11,768,0.05
13,1437,0.05
16,749,0.05
17,600,0.05
19,532,0.05
20,1405,0.05
21,369,0.05
23,574,0.05
23,574,0.05
27,1028,0.05
30,2315,0.05
35,963,0.05
38,2862,0.05
43,1369,0.05
43,1369,0.05
45,1640,0.05
52,447,0.05
53,830,0.05
58,402,0.05
59,408,0.05
6,828,0.05
8,860,0.05
13,375,0.05
17,531,0.05
18,468,0.05
45,391,0.05
46,329,0.05
48,390,0.05
49,359,0.05
50,344,0.05
51,344,0.05
52,281,0.05
59,500,0.05
61,469,0.05
63,954,0.05
63,954,0.05
65,546,0.05
73,359,0.05
75,281,0.05
80,266,0.05
82,312,0.05
4,2209,0.05
7,5017,0.05
11,4331,0.05
13,2949,0.05
18,1713,0.05
32,1867,0.05
36,1761,0.05
37,1565,0.05
38,8540,0.05
43,2034,0.05
43,2034,0.05
47,1981,0.05
48,1519,0.05
50,1899,0.05
51,1512,0.05
52,1962,0.05
54,1598,0.05
56,1925,0.05
59,1572,0.05
61,1822,0.05
62,2128,0.05
8,2568,0.05
10,3244,0.05
12,3839,0.05
15,9840,0.05
16,3461,0.05
24,7643,0.05
28,11796,0.05
30,2985,0.05
33,3595,0.05
35,2249,0.05
39,2799,0.05
40,3108,0.05
41,2321,0.05
42,3091,0.05
43,2582,0.05
43,2582,0.05
67,2373,0.05
69,999,0.05
76,2172,0.05
77,1380,0.05
79,2011,0.05
11,3998,0.05
13,4984,0.05
14,3740,0.05
16,4458,0.05
17,2336,0.05
24,4200,0.05
25,2946,0.05
27,1608,0.05
28,2598,0.05
29,1648,0.05
33,1153,0.05
36,1012,0.05
39,1190,0.05
41,547,0.05
42,967,0.05
44,1404,0.05
45,977,0.05
56,1294,0.05
58,1091,0.05
60,1090,0.05
4,5554,0.05
5,4670,0.05
6,9417,0.05
8,5686,0.05
15,4483,0.05
26,4793,0.05
29,12679,0.05
30,1280,0.05
35,3607,0.05
42,1886,0.05
44,6745,0.05
47,7505,0.05
49,2521,0.05
50,3245,0.05
53,2075,0.05
54,3454,0.05
55,1477,0.05
56,6219,0.05
58,1876,0.05
60,5490,0.05
6,3672,0.05
10,4808,0.05
13,4321,0.05
18,3111,0.05
21,5099,0.05
25,2027,0.05
28,3370,0.05
29,3804,0.05
32,2593,0.05
33,2548,0.05
34,2589,0.05
35,3339,0.05
36,3445,0.05
39,5513,0.05
40,4652,0.05
68,4892,0.05
70,4113,0.05
73,2211,0.05
74,2635,0.05
77,3427,0.05
24,10767,0.05
26,4777,0.05
29,1611,0.05
39,3623,0.05
41,4984,0.05
47,3770,0.05
48,1962,0.05
49,3346,0.05
50,2085,0.05
54,3700,0.05
55,2050,0.05
56,1540,0.05
58,2649,0.05
61,4139,0.05
62,1565,0.05
71,2732,0.05
76,2558,0.05
77,5756,0.05
78,6470,0.05
83,4144,0.05
83,4144,0.05
6,2990,0.05
7,4373,0.05
9,2775,0.05
12,5316,0.05
13,2401,0.05
14,3625,0.05
18,2349,0.05
20,2748,0.05
21,4831,0.05
22,2130,0.05
54,5571,0.05
56,6243,0.05
58,2646,0.05
60,3530,0.05
62,3050,0.05
68,2822,0.05
70,3413,0.05
73,3585,0.05
78,2834,0.05
83,3892,0.05
83,3892,0.05
28,5242,0.05
32,4976,0.05
36,3802,0.05
37,7049,0.05
38,7614,0.05
48,7905,0.05
55,4628,0.05
57,9833,0.05
59,5068,0.05
61,6072,0.05
64,11695,0.05
65,9097,0.05
67,3940,0.05
69,7242,0.05
71,17782,0.05
72,3583,0.05
73,4244,0.05
75,9599,0.05
76,13008,0.05
82,3949,0.05
9,523,0.05
11,426,0.05
12,478,0.05
14,5389,0.05
15,982,0.05
45,519,0.05
49,962,0.05
53,702,0.05
56,695,0.05
59,905,0.05
64,1090,0.05
66,643,0.05
67,764,0.05
68,658,0.05
71,683,0.05
72,5776,0.05
74,800,0.05
75,663,0.05
77,677,0.05
81,673,0.05
