mjd,mag,magerr
24,1490,0.05
25,895,0.05
26,650,0.05
28,899,0.05
29,705,0.05
30,536,0.05
32,744,0.05
39,863,0.05
42,758,0.05
43,1219,0.05
43,1219,0.05
44,1477,0.05
53,1361,0.05
56,889,0.05
60,681,0.05
61,828,0.05
66,866,0.05
69,679,0.05
75,853,0.05
76,627,0.05
79,1103,0.05
6,2734,0.05
10,3519,0.05
11,918,0.05
12,1965,0.05
14,1706,0.05
15,3038,0.05
17,1560,0.05
18,880,0.05
19,755,0.05
23,959,0.05
23,959,0.05
45,1231,0.05
51,2156,0.05
53,2319,0.05
54,1522,0.05
55,2031,0.05
64,2457,0.05
74,1739,0.05
75,4453,0.05
81,2078,0.05
82,913,0.05
5,3266,0.05
6,2713,0.05
10,3374,0.05
13,6405,0.05
15,3858,0.05
16,4057,0.05
17,2899,0.05
18,4470,0.05
19,5067,0.05
23,4961,0.05
23,4961,0.05
44,4224,0.05
53,1641,0.05
57,2033,0.05
60,2524,0.05
61,3529,0.05
66,2224,0.05
67,1721,0.05
70,1526,0.05
79,2836,0.05
80,2175,0.05
28,731,0.05
31,1204,0.05
39,1408,0.05
40,764,0.05
42,4132,0.05
46,1875,0.05
50,2021,0.05
55,408,0.05
57,671,0.05
63,1092,0.05
63,1092,0.05
66,1457,0.05
67,1902,0.05
68,1271,0.05
70,1625,0.05
73,1104,0.05
74,842,0.05
77,582,0.05
78,7420,0.05
80,716,0.05
82,742,0.05
9,531,0.05
11,578,0.05
12,500,0.05
19,578,0.05
22,750,0.05
24,968,0.05
26,312,0.05
27,360,0.05
32,485,0.05
33,1421,0.05
34,422,0.05
36,516,0.05
38,1438,0.05
39,422,0.05
40,563,0.05
67,328,0.05
68,406,0.05
69,297,0.05
76,188,0.05
81,313,0.05
5,2102,0.05
14,1895,0.05
15,1960,0.05
20,1785,0.05
23,1937,0.05
23,1937,0.05
24,1503,0.05
28,1533,0.05
33,3048,0.05
39,1430,0.05
42,1720,0.05
65,1572,0.05
67,1716,0.05
68,1692,0.05
70,1939,0.05
72,1538,0.05
74,1728,0.05
75,1648,0.05
78,2943,0.05
79,1524,0.05
83,1988,0.05
83,1988,0.05
5,2882,0.05
6,4593,0.05
9,5954,0.05
17,2581,0.05
18,1859,0.05
44,4918,0.05
46,3280,0.05
47,2657,0.05
49,1643,0.05
51,1451,0.05
56,2282,0.05
57,1787,0.05
60,1441,0.05
61,1662,0.05
62,2607,0.05
64,4899,0.05
70,1211,0.05
71,753,0.05
72,2223,0.05
78,1209,0.05
4,6064,0.05
8,1817,0.05
10,3419,0.05
15,2433,0.05
21,2620,0.05
47,728,0.05
49,1048,0.05
50,695,0.05
59,1098,0.05
62,1058,0.05
65,1338,0.05
67,463,0.05
69,1946,0.05
70,735,0.05
72,1169,0.05
78,1228,0.05
80,1617,0.05
81,961,0.05
82,1739,0.05
83,2522,0.05
83,2522,0.05
13,4226,0.05
16,2749,0.05
18,6714,0.05
19,3030,0.05
20,1580,0.05
31,1888,0.05
34,5497,0.05
39,3880,0.05
41,4472,0.05
43,4603,0.05
43,4603,0.05
65,4450,0.05
67,3374,0.05
69,2770,0.05
73,3074,0.05
74,3342,0.05
75,6351,0.05
77,2769,0.05
79,3782,0.05
82,11596,0.05
83,5246,0.05
83,5246,0.05
5,5071,0.05
7,3168,0.05
9,5654,0.05
15,4104,0.05
23,2176,0.05
23,2176,0.05
44,4491,0.05
46,5598,0.05
47,5530,0.05
49,2154,0.05
52,5577,0.05
55,5275,0.05
56,6099,0.05
58,4513,0.05
60,4936,0.05
61,4584,0.05
64,3771,0.05
67,4400,0.05
78,2981,0.05
80,1932,0.05
81,2968,0.05
5,3098,0.05
6,3151,0.05
7,5377,0.05
9,3758,0.05
10,4743,0.05
13,3353,0.05
17,3869,0.05
20,5398,0.05
21,3825,0.05
23,1647,0.05
23,1647,0.05
32,3820,0.05
33,1691,0.05
37,2627,0.05
38,3305,0.05
40,1432,0.05
64,2253,0.05
66,4282,0.05
67,2276,0.05
72,2994,0.05
80,1317,0.05
25,2597,0.05
28,2333,0.05
30,4825,0.05
31,976,0.05
32,2587,0.05
33,4811,0.05
34,6460,0.05
39,1635,0.05
40,1975,0.05
41,3538,0.05
44,3072,0.05
45,1988,0.05
49,1939,0.05
52,2666,0.05
59,6144,0.05
66,4648,0.05
69,4857,0.05
72,4519,0.05
76,1994,0.05
80,1988,0.05
6,13278,0.05
9,8047,0.05
10,6294,0.05
11,6717,0.05
13,4744,0.05
15,4167,0.05
16,4582,0.05
17,6017,0.05
19,9251,0.05
23,9481,0.05
23,9481,0.05
29,13620,0.05
34,8757,0.05
40,9328,0.05
41,6269,0.05
43,1886,0.05
43,1886,0.05
45,6071,0.05
46,3892,0.05
56,8212,0.05
58,7811,0.05
60,5570,0.05
4,1229,0.05
8,362,0.05
10,312,0.05
22,707,0.05
23,421,0.05
23,421,0.05
24,661,0.05
26,679,0.05
29,869,0.05
32,597,0.05
33,689,0.05
37,928,0.05
38,696,0.05
40,916,0.05
42,476,0.05
43,809,0.05
43,809,0.05
44,859,0.05
47,758,0.05
55,732,0.05
58,879,0.05
60,688,0.05
