mjd,mag,magerr
4,905,0.05
5,843,0.05
9,352,0.05
11,329,0.05
13,189,0.05
14,161,0.05
15,169,0.05
16,232,0.05
18,174,0.05
20,967,0.05
46,182,0.05
47,284,0.05
49,174,0.05
51,345,0.05
62,238,0.05
65,786,0.05
70,205,0.05
72,189,0.05
73,182,0.05
83,253,0.05
83,253,0.05
25,407,0.05
26,425,0.05
27,1854,0.05
33,346,0.05
35,223,0.05
36,1550,0.05
38,329,0.05
39,274,0.05
41,194,0.05
43,424,0.05
43,424,0.05
49,210,0.05
52,1367,0.05
59,1779,0.05
60,1403,0.05
63,285,0.05
63,285,0.05
66,118,0.05
67,146,0.05
69,172,0.05
73,127,0.05
79,202,0.05
25,2550,0.05
28,1474,0.05
31,2781,0.05
34,2182,0.05
36,4688,0.05
37,1622,0.05
38,2736,0.05
40,2460,0.05
41,3032,0.05
43,1784,0.05
43,1784,0.05
47,2002,0.05
50,1792,0.05
56,1404,0.05
58,4258,0.05
59,964,0.05
68,3077,0.05
71,1429,0.05
72,1802,0.05
77,2521,0.05
78,1144,0.05
5,472,0.05
7,427,0.05
8,1235,0.05
9,416,0.05
10,771,0.05
12,260,0.05
14,454,0.05
15,206,0.05
18,764,0.05
22,304,0.05
25,305,0.05
26,333,0.05
32,191,0.05
33,388,0.05
41,578,0.05
44,787,0.05
47,299,0.05
48,553,0.05
60,211,0.05
62,139,0.05
5,250,0.05
14,219,0.05
15,219,0.05
16,203,0.05
20,250,0.05
44,78,0.05
47,140,0.05
53,203,0.05
54,218,0.05
55,156,0.05
56,156,0.05
57,141,0.05
58,312,0.05
60,203,0.05
62,141,0.05
66,172,0.05
74,203,0.05
77,203,0.05
78,125,0.05
83,203,0.05
83,203,0.05
6,6619,0.05
8,5005,0.05
17,3694,0.05
19,6996,0.05
22,3549,0.05
25,3180,0.05
26,4191,0.05
27,2071,0.05
29,6096,0.05
31,2148,0.05
44,3077,0.05
45,2831,0.05
46,3860,0.05
49,4230,0.05
53,3295,0.05
55,3970,0.05
57,9058,0.05
58,2377,0.05
60,13927,0.05
63,4097,0.05
63,4097,0.05
7,702,0.05
13,1229,0.05
14,859,0.05
20,1918,0.05
22,250,0.05
25,366,0.05
26,283,0.05
27,242,0.05
29,125,0.05
31,146,0.05
32,509,0.05
34,209,0.05
36,165,0.05
37,172,0.05
38,183,0.05
65,236,0.05
68,152,0.05
74,182,0.05
75,159,0.05
83,186,0.05
83,186,0.05
5,2515,0.05
6,2497,0.05
9,3050,0.05
19,3472,0.05
23,192,0.05
23,192,0.05
26,1497,0.05
30,393,0.05
31,212,0.05
32,404,0.05
34,375,0.05
35,712,0.05
37,206,0.05
38,199,0.05
40,341,0.05
43,475,0.05
43,475,0.05
48,352,0.05
53,231,0.05
54,214,0.05
55,249,0.05
61,258,0.05
9,2381,0.05
12,2929,0.05
14,1419,0.05
21,3134,0.05
22,2798,0.05
24,3010,0.05
27,3698,0.05
28,7913,0.05
32,2352,0.05
36,1783,0.05
45,869,0.05
46,1514,0.05
48,1753,0.05
51,1176,0.05
52,2017,0.05
57,2166,0.05
59,5686,0.05
61,2599,0.05
62,3959,0.05
63,6769,0.05
63,6769,0.05
4,2305,0.05
12,2131,0.05
14,1620,0.05
19,4710,0.05
22,1255,0.05
24,2796,0.05
26,1678,0.05
27,3177,0.05
30,1416,0.05
31,1052,0.05
37,1260,0.05
38,1639,0.05
41,1333,0.05
42,6265,0.05
43,2478,0.05
43,2478,0.05
65,2471,0.05
69,2640,0.05
72,1244,0.05
79,2555,0.05
82,2126,0.05
27,1585,0.05
30,1956,0.05
31,2671,0.05
34,2310,0.05
35,1922,0.05
44,1475,0.05
45,3527,0.05
46,3132,0.05
51,2345,0.05
52,1960,0.05
53,1567,0.05
57,2243,0.05
59,1168,0.05
60,11160,0.05
63,984,0.05
63,984,0.05
68,6078,0.05
73,1912,0.05
74,3182,0.05
79,1325,0.05
82,5452,0.05
4,2179,0.05
5,1758,0.05
8,1663,0.05
10,2107,0.05
11,2304,0.05
15,944,0.05
16,686,0.05
17,983,0.05
19,1063,0.05
23,935,0.05
23,935,0.05
46,2855,0.05
47,3024,0.05
50,7212,0.05
51,347,0.05
53,1649,0.05
64,816,0.05
65,591,0.05
67,374,0.05
79,2264,0.05
81,405,0.05
25,2727,0.05
30,2195,0.05
31,2265,0.05
35,4992,0.05
42,3920,0.05
44,2176,0.05
50,4576,0.05
53,4033,0.05
54,5033,0.05
62,2505,0.05
66,1649,0.05
68,3514,0.05
70,2947,0.05
74,3060,0.05
77,3871,0.05
78,2681,0.05
79,1649,0.05
80,3358,0.05
81,3726,0.05
83,10694,0.05
83,10694,0.05
5,210,0.05
6,226,0.05
16,230,0.05
19,231,0.05
20,2494,0.05
48,217,0.05
52,231,0.05
57,504,0.05
61,784,0.05
63,298,0.05
63,298,0.05
65,291,0.05
69,290,0.05
70,242,0.05
73,253,0.05
76,248,0.05
78,286,0.05
79,245,0.05
80,270,0.05
82,282,0.05
83,234,0.05
83,234,0.05
