mjd,mag,magerr
27,194,0.05
31,233,0.05
33,428,0.05
34,253,0.05
35,180,0.05
36,358,0.05
37,302,0.05
38,359,0.05
40,405,0.05
41,472,0.05
48,378,0.05
52,236,0.05
54,229,0.05
57,235,0.05
63,246,0.05
63,246,0.05
68,195,0.05
74,438,0.05
77,470,0.05
81,194,0.05
82,217,0.05
4,2406,0.05
5,2238,0.05
7,2513,0.05
8,915,0.05
9,1059,0.05
13,1698,0.05
16,737,0.05
20,336,0.05
21,467,0.05
22,316,0.05
44,296,0.05
48,221,0.05
50,1245,0.05
58,1570,0.05
62,1944,0.05
65,914,0.05
70,145,0.05
71,125,0.05
72,136,0.05
77,194,0.05
4,2297,0.05
7,1975,0.05
8,3620,0.05
9,1317,0.05
11,2526,0.05
12,2933,0.05
14,1279,0.05
20,1666,0.05
21,3276,0.05
22,1825,0.05
45,1458,0.05
46,2475,0.05
52,1643,0.05
54,2834,0.05
63,1133,0.05
63,1133,0.05
64,1733,0.05
65,1317,0.05
69,3418,0.05
73,1458,0.05
82,1474,0.05
24,2127,0.05
29,742,0.05
34,592,0.05
36,424,0.05
37,386,0.05
49,292,0.05
51,295,0.05
54,229,0.05
56,196,0.05
61,218,0.05
64,321,0.05
65,305,0.05
69,258,0.05
71,265,0.05
72,301,0.05
75,769,0.05
76,341,0.05
79,214,0.05
81,640,0.05
83,199,0.05
83,199,0.05
4,219,0.05
7,1234,0.05
10,1406,0.05
21,172,0.05
23,156,0.05
23,156,0.05
25,140,0.05
28,203,0.05
29,188,0.05
30,203,0.05
31,203,0.05
35,203,0.05
37,187,0.05
41,265,0.05
42,140,0.05
43,313,0.05
43,313,0.05
64,157,0.05
70,203,0.05
71,203,0.05
72,188,0.05
79,187,0.05
9,5611,0.05
10,3388,0.05
12,2307,0.05
16,3962,0.05
21,3061,0.05
30,3435,0.05
34,5746,0.05
35,6392,0.05
40,1579,0.05
41,2158,0.05
64,3656,0.05
66,6041,0.05
69,4199,0.05
71,2444,0.05
73,3902,0.05
76,4424,0.05
77,4336,0.05
80,6221,0.05
81,7331,0.05
82,1795,0.05
4,1354,0.05
11,1806,0.05
19,228,0.05
21,200,0.05
23,251,0.05
23,251,0.05
45,139,0.05
48,140,0.05
50,145,0.05
52,134,0.05
53,144,0.05
54,150,0.05
55,156,0.05
58,157,0.05
59,142,0.05
63,168,0.05
63,168,0.05
66,224,0.05
73,243,0.05
80,130,0.05
81,183,0.05
82,178,0.05
7,1472,0.05
12,3054,0.05
18,1326,0.05
20,258,0.05
22,285,0.05
46,235,0.05
51,225,0.05
52,278,0.05
57,1108,0.05
63,3051,0.05
63,3051,0.05
64,211,0.05
66,218,0.05
68,286,0.05
71,258,0.05
73,2514,0.05
74,2651,0.05
75,4623,0.05
76,364,0.05
77,383,0.05
79,292,0.05
7,2383,0.05
10,2689,0.05
11,4179,0.05
17,5779,0.05
23,2792,0.05
23,2792,0.05
25,2822,0.05
33,1942,0.05
37,1907,0.05
38,1825,0.05
40,1643,0.05
64,1570,0.05
66,2039,0.05
68,5771,0.05
70,3288,0.05
71,2946,0.05
72,2798,0.05
76,3283,0.05
78,2830,0.05
80,4270,0.05
81,2374,0.05
8,2045,0.05
11,2982,0.05
16,1221,0.05
17,1685,0.05
20,867,0.05
45,1935,0.05
48,2147,0.05
50,1618,0.05
51,886,0.05
53,2332,0.05
54,1409,0.05
57,2284,0.05
59,1807,0.05
62,970,0.05
63,4891,0.05
63,4891,0.05
66,2012,0.05
71,1311,0.05
75,1637,0.05
76,1852,0.05
83,1103,0.05
83,1103,0.05
4,2071,0.05
8,4306,0.05
11,3584,0.05
12,2551,0.05
14,5104,0.05
15,2553,0.05
16,5216,0.05
18,1633,0.05
19,3033,0.05
22,2317,0.05
25,1847,0.05
28,3307,0.05
36,1158,0.05
42,11135,0.05
43,3613,0.05
43,3613,0.05
65,1543,0.05
69,1070,0.05
70,2077,0.05
75,418,0.05
81,2457,0.05
24,2160,0.05
26,1705,0.05
27,1282,0.05
29,4307,0.05
35,420,0.05
36,436,0.05
37,1033,0.05
38,1100,0.05
42,1179,0.05
43,1310,0.05
43,1310,0.05
48,1096,0.05
55,612,0.05
57,2603,0.05
61,1507,0.05
63,221,0.05
63,221,0.05
71,2727,0.05
74,1045,0.05
75,1585,0.05
77,1113,0.05
82,4043,0.05
4,3843,0.05
5,4960,0.05
7,4325,0.05
8,2342,0.05
12,2741,0.05
14,3036,0.05
18,4202,0.05
20,2562,0.05
21,3769,0.05
22,3845,0.05
24,4212,0.05
26,2306,0.05
27,6029,0.05
33,2460,0.05
39,3677,0.05
47,3069,0.05
49,3911,0.05
51,8790,0.05
52,2795,0.05
63,1995,0.05
63,1995,0.05
7,215,0.05
13,211,0.05
17,225,0.05
18,169,0.05
21,256,0.05
25,264,0.05
27,269,0.05
28,570,0.05
30,235,0.05
31,227,0.05
34,212,0.05
35,236,0.05
36,268,0.05
39,225,0.05
41,218,0.05
46,253,0.05
50,241,0.05
51,252,0.05
54,193,0.05
62,336,0.05
