mjd,mag,magerr
6,644,0.05
7,427,0.05
8,207,0.05
10,181,0.05
12,235,0.05
17,598,0.05
19,247,0.05
21,279,0.05
22,201,0.05
23,219,0.05
23,219,0.05
45,315,0.05
50,230,0.05
55,206,0.05
58,187,0.05
59,227,0.05
64,201,0.05
67,170,0.05
71,156,0.05
78,267,0.05
80,482,0.05
24,692,0.05
28,300,0.05
29,2121,0.05
30,383,0.05
31,370,0.05
32,303,0.05
34,342,0.05
37,162,0.05
40,156,0.05
42,195,0.05
46,233,0.05
47,240,0.05
56,320,0.05
57,232,0.05
61,1537,0.05
68,229,0.05
76,156,0.05
78,203,0.05
80,357,0.05
83,237,0.05
83,237,0.05
24,2015,0.05
26,4588,0.05
27,1239,0.05
29,2897,0.05
30,3302,0.05
32,2033,0.05
33,1619,0.05
35,1372,0.05
39,2251,0.05
42,1831,0.05
48,3608,0.05
49,1478,0.05
51,1721,0.05
55,3149,0.05
62,3569,0.05
74,1775,0.05
75,1601,0.05
76,1563,0.05
81,4908,0.05
83,1342,0.05
83,1342,0.05
4,1563,0.05
6,977,0.05
11,587,0.05
13,473,0.05
16,231,0.05
17,265,0.05
19,307,0.05
20,380,0.05
21,258,0.05
23,289,0.05
23,289,0.05
27,310,0.05
30,266,0.05
35,571,0.05
38,610,0.05
43,259,0.05
43,259,0.05
45,322,0.05
52,1211,0.05
53,542,0.05
58,189,0.05
59,205,0.05
6,610,0.05
8,187,0.05
13,218,0.05
17,234,0.05
18,203,0.05
45,172,0.05
46,344,0.05
48,234,0.05
49,172,0.05
50,125,0.05
51,156,0.05
52,188,0.05
59,187,0.05
61,282,0.05
63,125,0.05
63,125,0.05
65,204,0.05
73,187,0.05
75,172,0.05
80,188,0.05
82,187,0.05
4,4567,0.05
7,3255,0.05
11,4272,0.05
13,3974,0.05
18,5112,0.05
32,4119,0.05
36,4053,0.05
37,4680,0.05
38,6257,0.05
43,4891,0.05
43,4891,0.05
47,5721,0.05
48,3289,0.05
50,6253,0.05
51,8978,0.05
52,3443,0.05
54,3811,0.05
56,3772,0.05
59,4701,0.05
61,3544,0.05
62,3186,0.05
8,590,0.05
10,1035,0.05
12,1942,0.05
15,275,0.05
16,1001,0.05
24,238,0.05
28,1620,0.05
30,160,0.05
33,457,0.05
35,188,0.05
39,160,0.05
40,138,0.05
41,162,0.05
42,127,0.05
43,149,0.05
43,149,0.05
67,182,0.05
69,204,0.05
76,181,0.05
77,383,0.05
79,137,0.05
11,1109,0.05
13,976,0.05
14,792,0.05
16,1868,0.05
17,708,0.05
24,3529,0.05
25,787,0.05
27,1496,0.05
28,1838,0.05
29,279,0.05
33,248,0.05
36,370,0.05
39,270,0.05
41,1363,0.05
42,770,0.05
44,289,0.05
45,204,0.05
56,196,0.05
58,908,0.05
60,202,0.05
4,3524,0.05
5,4396,0.05
6,4803,0.05
8,2606,0.05
15,1872,0.05
26,3057,0.05
29,1782,0.05
30,2144,0.05
35,2693,0.05
42,2018,0.05
44,2201,0.05
47,4687,0.05
49,1629,0.05
50,4700,0.05
53,2978,0.05
54,7453,0.05
55,2601,0.05
56,2338,0.05
58,11279,0.05
60,2901,0.05
6,3598,0.05
10,1788,0.05
13,522,0.05
18,2401,0.05
21,1755,0.05
25,3727,0.05
28,1923,0.05
29,1605,0.05
32,3428,0.05
33,3032,0.05
34,3710,0.05
35,4478,0.05
36,1881,0.05
39,2295,0.05
40,5760,0.05
68,1453,0.05
70,2293,0.05
73,1725,0.05
74,1291,0.05
77,2366,0.05
24,2877,0.05
26,3654,0.05
29,1421,0.05
39,26317,0.05
41,2549,0.05
47,5716,0.05
48,3582,0.05
49,1404,0.05
50,2765,0.05
54,2514,0.05
55,2147,0.05
56,2316,0.05
58,2835,0.05
61,2388,0.05
62,3077,0.05
71,2921,0.05
76,3322,0.05
77,4238,0.05
78,2248,0.05
83,2720,0.05
83,2720,0.05
6,1568,0.05
7,1682,0.05
9,3345,0.05
12,3533,0.05
13,2328,0.05
14,872,0.05
18,1217,0.05
20,917,0.05
21,1600,0.05
22,1418,0.05
54,2527,0.05
56,3196,0.05
58,2166,0.05
60,3285,0.05
62,217,0.05
68,2158,0.05
70,3291,0.05
73,4077,0.05
78,221,0.05
83,773,0.05
83,773,0.05
28,2757,0.05
32,5014,0.05
36,3339,0.05
37,3016,0.05
38,7562,0.05
48,3551,0.05
55,8472,0.05
57,2286,0.05
59,8866,0.05
61,1390,0.05
64,2258,0.05
65,2391,0.05
67,3634,0.05
69,2039,0.05
71,6565,0.05
72,1249,0.05
73,8989,0.05
75,5560,0.05
76,7089,0.05
82,1653,0.05
9,241,0.05
11,211,0.05
12,216,0.05
14,220,0.05
15,246,0.05
45,276,0.05
49,240,0.05
53,314,0.05
56,506,0.05
59,242,0.05
64,244,0.05
66,236,0.05
67,250,0.05
68,258,0.05
71,276,0.05
72,247,0.05
74,252,0.05
75,263,0.05
77,231,0.05
81,269,0.05
