mjd,mag,magerr
24,208,0.05
25,387,0.05
26,529,0.05
28,330,0.05
29,190,0.05
30,245,0.05
32,269,0.05
39,296,0.05
42,359,0.05
43,185,0.05
43,185,0.05
44,246,0.05
53,263,0.05
56,238,0.05
60,204,0.05
61,202,0.05
66,220,0.05
69,267,0.05
75,224,0.05
76,194,0.05
79,189,0.05
6,1084,0.05
10,1788,0.05
11,588,0.05
12,1410,0.05
14,458,0.05
15,2459,0.05
17,415,0.05
18,241,0.05
19,235,0.05
23,276,0.05
23,276,0.05
45,202,0.05
51,1585,0.05
53,2551,0.05
54,2607,0.05
55,1779,0.05
64,2702,0.05
74,135,0.05
75,131,0.05
81,505,0.05
82,312,0.05
5,3292,0.05
6,3189,0.05
10,1067,0.05
13,1421,0.05
15,2401,0.05
16,3063,0.05
17,3990,0.05
18,2761,0.05
19,2843,0.05
23,1717,0.05
23,1717,0.05
44,1102,0.05
53,4796,0.05
57,2024,0.05
60,2944,0.05
61,2395,0.05
66,5041,0.05
67,1772,0.05
70,2444,0.05
79,2075,0.05
80,1661,0.05
28,240,0.05
31,311,0.05
39,604,0.05
40,499,0.05
42,334,0.05
46,204,0.05
50,590,0.05
55,2392,0.05
57,209,0.05
63,239,0.05
63,239,0.05
66,268,0.05
67,294,0.05
68,242,0.05
70,230,0.05
73,339,0.05
74,679,0.05
77,262,0.05
78,521,0.05
80,295,0.05
82,231,0.05
9,156,0.05
11,359,0.05
12,219,0.05
19,282,0.05
22,188,0.05
24,156,0.05
26,344,0.05
27,219,0.05
32,157,0.05
33,172,0.05
34,172,0.05
36,203,0.05
38,187,0.05
39,187,0.05
40,172,0.05
67,156,0.05
68,172,0.05
69,172,0.05
76,156,0.05
81,156,0.05
5,5699,0.05
14,6077,0.05
15,2252,0.05
20,3308,0.05
23,5672,0.05
23,5672,0.05
24,3326,0.05
28,2323,0.05
33,3411,0.05
39,1690,0.05
42,7743,0.05
65,2850,0.05
67,2484,0.05
68,1951,0.05
70,3302,0.05
72,4503,0.05
74,3803,0.05
75,2769,0.05
78,2782,0.05
79,1884,0.05
83,2134,0.05
83,2134,0.05
5,1404,0.05
6,1667,0.05
9,1274,0.05
17,224,0.05
18,206,0.05
44,101,0.05
46,154,0.05
47,141,0.05
49,147,0.05
51,148,0.05
56,161,0.05
57,141,0.05
60,141,0.05
61,154,0.05
62,154,0.05
64,175,0.05
70,219,0.05
71,176,0.05
72,175,0.05
78,172,0.05
4,2609,0.05
8,2006,0.05
10,3549,0.05
15,771,0.05
21,242,0.05
47,55,0.05
49,288,0.05
50,298,0.05
59,191,0.05
62,417,0.05
65,263,0.05
67,209,0.05
69,260,0.05
70,506,0.05
72,324,0.05
78,591,0.05
80,236,0.05
81,298,0.05
82,245,0.05
83,170,0.05
83,170,0.05
13,2768,0.05
16,4376,0.05
18,4118,0.05
19,5000,0.05
20,4073,0.05
31,2798,0.05
34,1713,0.05
39,2347,0.05
41,3253,0.05
43,1675,0.05
43,1675,0.05
65,3316,0.05
67,7680,0.05
69,3090,0.05
73,3050,0.05
74,4186,0.05
75,6402,0.05
77,3699,0.05
79,2946,0.05
82,1320,0.05
83,1347,0.05
83,1347,0.05
5,4203,0.05
7,2922,0.05
9,1714,0.05
15,1305,0.05
23,2620,0.05
23,2620,0.05
44,1350,0.05
46,1154,0.05
47,1083,0.05
49,1594,0.05
52,1056,0.05
55,1981,0.05
56,890,0.05
58,1711,0.05
60,1807,0.05
61,2274,0.05
64,2368,0.05
67,1828,0.05
78,3371,0.05
80,2505,0.05
81,2692,0.05
5,3411,0.05
6,2109,0.05
7,3270,0.05
9,2513,0.05
10,4775,0.05
13,2620,0.05
17,5071,0.05
20,11457,0.05
21,4308,0.05
23,1733,0.05
23,1733,0.05
32,4127,0.05
33,1069,0.05
37,1918,0.05
38,3560,0.05
40,1295,0.05
64,1043,0.05
66,1968,0.05
67,3771,0.05
72,2627,0.05
80,1068,0.05
25,1655,0.05
28,3334,0.05
30,1871,0.05
31,2088,0.05
32,2021,0.05
33,1462,0.05
34,1271,0.05
39,853,0.05
40,592,0.05
41,976,0.05
44,2112,0.05
45,1916,0.05
49,1385,0.05
52,1233,0.05
59,463,0.05
66,2734,0.05
69,5379,0.05
72,1722,0.05
76,2134,0.05
80,386,0.05
6,3427,0.05
9,3656,0.05
10,1976,0.05
11,5854,0.05
13,7718,0.05
15,5219,0.05
16,4512,0.05
17,5418,0.05
19,4600,0.05
23,4903,0.05
23,4903,0.05
29,4990,0.05
34,2511,0.05
40,4264,0.05
41,2880,0.05
43,2097,0.05
43,2097,0.05
45,2833,0.05
46,4250,0.05
56,2131,0.05
58,3735,0.05
60,4033,0.05
4,187,0.05
8,242,0.05
10,217,0.05
22,215,0.05
23,245,0.05
23,245,0.05
24,225,0.05
26,287,0.05
29,288,0.05
32,243,0.05
33,228,0.05
37,267,0.05
38,228,0.05
40,198,0.05
42,215,0.05
43,250,0.05
43,250,0.05
44,199,0.05
47,674,0.05
55,248,0.05
58,289,0.05
60,252,0.05
