mjd,mag,magerr
166501,2629,0.05
173357,275,0.05
176967,285,0.05
181228,290,0.05
183673,367,0.05
186785,237,0.05
189081,432,0.05
192027,360,0.05
194373,225,0.05
196619,315,0.05
199082,371,0.05
201345,307,0.05
203991,484,0.05
208419,260,0.05
210929,233,0.05
213475,1255,0.05
219000,344,0.05
221545,426,0.05
223775,317,0.05
225922,428,0.05
225922,428,0.05
231097,196,0.05
233410,275,0.05
235706,207,0.05
237814,303,0.05
240132,398,0.05
242162,276,0.05
244065,281,0.05
246305,206,0.05
248286,277,0.05
250499,193,0.05
252878,251,0.05
255008,227,0.05
257720,466,0.05
260600,459,0.05
263478,356,0.05
265791,341,0.05
269052,396,0.05
271548,262,0.05
273761,237,0.05
276157,203,0.05
276157,203,0.05
279785,208,0.05
282081,439,0.05
284644,208,0.05
286724,249,0.05
289270,279,0.05
291516,241,0.05
293346,257,0.05
295609,212,0.05
297839,257,0.05
300452,209,0.05
302501,219,0.05
305644,968,0.05
308555,240,0.05
310668,235,0.05
312449,190,0.05
314296,366,0.05
316477,264,0.05
318506,231,0.05
320519,226,0.05
322716,609,0.05
322716,609,0.05
326626,204,0.05
329288,279,0.05
331402,191,0.05
333665,226,0.05
335828,200,0.05
337708,211,0.05
340354,261,0.05
342201,182,0.05
344098,194,0.05
346694,227,0.05
348957,376,0.05
351137,191,0.05
352701,163,0.05
355380,185,0.05
357826,254,0.05
360122,212,0.05
362219,207,0.05
364515,211,0.05
366978,230,0.05
369074,206,0.05
369074,206,0.05
