mjd,mag,magerr
381260,2838,0.05
391061,498,0.05
397201,2158,0.05
403375,551,0.05
409099,277,0.05
412577,335,0.05
416470,305,0.05
419049,552,0.05
421913,315,0.05
425190,711,0.05
429833,419,0.05
432362,234,0.05
434476,222,0.05
436340,233,0.05
438835,278,0.05
440814,267,0.05
444009,288,0.05
445807,275,0.05
447587,267,0.05
449634,306,0.05
449634,306,0.05
462513,837,0.05
466373,299,0.05
468504,249,0.05
470950,285,0.05
473013,565,0.05
476258,1493,0.05
481318,443,0.05
484216,360,0.05
486442,273,0.05
488887,471,0.05
492732,717,0.05
496176,460,0.05
500153,477,0.05
515545,351,0.05
520370,513,0.05
524064,620,0.05
527077,550,0.05
530105,617,0.05
536279,420,0.05
539322,172,0.05
539322,172,0.05
549840,777,0.05
553917,314,0.05
557378,314,0.05
559609,319,0.05
562202,678,0.05
565431,593,0.05
569828,746,0.05
574068,379,0.05
577279,400,0.05
580108,633,0.05
582903,215,0.05
586664,337,0.05
590308,232,0.05
592273,243,0.05
594021,120,0.05
595555,250,0.05
597332,309,0.05
601124,328,0.05
603754,341,0.05
606402,621,0.05
606402,621,0.05
612641,355,0.05
616550,310,0.05
619479,234,0.05
622740,360,0.05
625535,177,0.05
628699,252,0.05
631725,367,0.05
635005,242,0.05
638016,211,0.05
640451,283,0.05
643174,251,0.05
647219,515,0.05
650927,326,0.05
653091,196,0.05
661993,225,0.05
664324,183,0.05
666936,334,0.05
670729,393,0.05
673093,206,0.05
674775,247,0.05
674775,247,0.05
