mjd,mag,magerr
376584,3094,0.05
388149,2413,0.05
392709,3496,0.05
401112,1823,0.05
406120,1729,0.05
410214,1926,0.05
413825,1850,0.05
417669,768,0.05
420714,917,0.05
423260,1437,0.05
426970,2392,0.05
431263,871,0.05
433477,749,0.05
435456,600,0.05
437520,533,0.05
439950,532,0.05
442213,1405,0.05
445158,369,0.05
446872,391,0.05
448752,574,0.05
448752,574,0.05
457322,3058,0.05
464377,1669,0.05
467672,480,0.05
469602,1028,0.05
472031,731,0.05
474611,889,0.05
478721,2315,0.05
482681,1204,0.05
485476,755,0.05
487673,804,0.05
490635,1487,0.05
494627,963,0.05
497607,2100,0.05
501684,13456,0.05
516891,2862,0.05
522035,1408,0.05
525795,764,0.05
528807,700,0.05
531786,4132,0.05
537676,1369,0.05
537676,1369,0.05
542901,6126,0.05
551940,1640,0.05
555281,1875,0.05
558792,508,0.05
561005,621,0.05
563968,1154,0.05
567196,2021,0.05
571755,2012,0.05
575615,447,0.05
578719,830,0.05
581789,869,0.05
583851,408,0.05
588146,1954,0.05
591374,671,0.05
593403,402,0.05
594917,408,0.05
596565,541,0.05
598612,2274,0.05
602389,1211,0.05
605050,1092,0.05
605050,1092,0.05
610826,1465,0.05
613821,2410,0.05
617731,1457,0.05
620527,1902,0.05
624005,1271,0.05
626453,1969,0.05
629862,1625,0.05
632907,1825,0.05
635952,1743,0.05
638980,1104,0.05
641648,842,0.05
644520,1897,0.05
649064,1505,0.05
652228,582,0.05
654039,7420,0.05
663009,1091,0.05
665887,716,0.05
669082,997,0.05
672111,742,0.05
673991,570,0.05
673991,570,0.05
