mjd,mag,magerr
177346,2406,0.05
184530,2238,0.05
193607,1084,0.05
201369,2513,0.05
209093,915,0.05
214256,1059,0.05
221531,1788,0.05
228693,588,0.05
233787,1410,0.05
240080,1698,0.05
247854,458,0.05
253052,2459,0.05
260466,737,0.05
264605,415,0.05
267286,241,0.05
269638,235,0.05
272599,336,0.05
276291,467,0.05
279234,316,0.05
281830,276,0.05
281830,276,0.05
292741,692,0.05
296772,407,0.05
300691,425,0.05
306690,1854,0.05
311995,300,0.05
317610,2121,0.05
326205,383,0.05
330284,370,0.05
333475,303,0.05
338049,346,0.05
341932,342,0.05
346019,223,0.05
350842,1550,0.05
356617,162,0.05
361113,329,0.05
366716,274,0.05
371320,156,0.05
375753,194,0.05
378890,195,0.05
381683,424,0.05
381683,424,0.05
387762,296,0.05
390613,202,0.05
394230,233,0.05
397724,240,0.05
401078,221,0.05
404606,210,0.05
408989,1245,0.05
415569,1585,0.05
423731,1367,0.05
433636,2551,0.05
440917,2607,0.05
450293,1779,0.05
458826,320,0.05
461652,232,0.05
464400,1570,0.05
473396,1779,0.05
482960,1403,0.05
493787,1537,0.05
500783,1944,0.05
510082,285,0.05
510082,285,0.05
515342,2702,0.05
524583,914,0.05
530868,118,0.05
534348,146,0.05
538877,229,0.05
542094,172,0.05
545458,145,0.05
549039,125,0.05
551934,136,0.05
554864,127,0.05
558112,135,0.05
563680,131,0.05
566473,156,0.05
569172,194,0.05
573227,203,0.05
576102,202,0.05
580617,357,0.05
584202,505,0.05
586378,312,0.05
589344,237,0.05
589344,237,0.05
