mjd,mag,magerr
165287,2599,0.05
174918,2236,0.05
183582,1139,0.05
193847,1450,0.05
209709,1663,0.05
220640,2603,0.05
232837,1411,0.05
250450,1281,0.05
262797,1360,0.05
271728,865,0.05
278676,595,0.05
284109,474,0.05
290074,405,0.05
296222,2329,0.05
306153,1413,0.05
312518,1423,0.05
318717,1054,0.05
328398,1020,0.05
334646,1078,0.05
340911,1739,0.05
340911,1739,0.05
355924,1459,0.05
363623,1599,0.05
375220,1611,0.05
384001,2711,0.05
394499,1511,0.05
405496,1280,0.05
415711,2587,0.05
424158,1254,0.05
431590,2915,0.05
442237,362,0.05
451252,451,0.05
455434,512,0.05
459950,406,0.05
464666,2188,0.05
471681,843,0.05
476329,479,0.05
480328,422,0.05
486427,928,0.05
493325,1805,0.05
503623,370,0.05
503623,370,0.05
514203,1676,0.05
525384,1903,0.05
540214,2257,0.05
551811,1649,0.05
557426,406,0.05
562992,1062,0.05
575322,389,0.05
578654,399,0.05
584704,2392,0.05
594784,288,0.05
606198,2494,0.05
615796,599,0.05
628643,713,0.05
639740,293,0.05
647705,1188,0.05
656469,395,0.05
664951,265,0.05
674032,532,0.05
678697,282,0.05
682097,388,0.05
682097,388,0.05
689945,420,0.05
694177,298,0.05
707140,1588,0.05
713123,274,0.05
720804,320,0.05
732651,423,0.05
741749,1520,0.05
750796,835,0.05
761394,1150,0.05
771792,683,0.05
778740,385,0.05
785972,3168,0.05
794519,1966,0.05
807533,358,0.05
811732,311,0.05
819397,256,0.05
823263,256,0.05
828295,252,0.05
837576,1446,0.05
845874,286,0.05
845874,286,0.05
