mjd,mag,magerr
287774,2631,0.05
300640,2590,0.05
311691,3385,0.05
325274,4037,0.05
343159,4469,0.05
361524,2879,0.05
376626,2827,0.05
390662,4231,0.05
411026,3417,0.05
422676,2939,0.05
439357,3499,0.05
451402,2817,0.05
470661,2565,0.05
486525,3698,0.05
495675,4966,0.05
508695,1880,0.05
530025,2179,0.05
542958,2183,0.05
554494,2920,0.05
563292,2833,0.05
563292,2833,0.05
591791,4551,0.05
605075,1606,0.05
616407,5553,0.05
629510,1715,0.05
640257,7857,0.05
653691,1122,0.05
663841,3585,0.05
676808,1950,0.05
689207,5493,0.05
699428,832,0.05
709025,4264,0.05
721458,6748,0.05
733191,2675,0.05
744692,2993,0.05
755939,2237,0.05
793208,2518,0.05
802059,1825,0.05
812427,2631,0.05
833541,2101,0.05
845358,2003,0.05
845358,2003,0.05
871041,1417,0.05
882356,4942,0.05
895424,3098,0.05
910676,1598,0.05
921642,850,0.05
930241,2458,0.05
939527,1610,0.05
949757,1676,0.05
963094,3266,0.05
993491,4369,0.05
1007741,2195,0.05
1016675,1695,0.05
1024160,2375,0.05
1033557,1806,0.05
1042124,2982,0.05
1049658,1442,0.05
1066991,4822,0.05
1081158,2900,0.05
1091690,2351,0.05
1107491,824,0.05
1107491,824,0.05
1116256,983,0.05
1122941,2250,0.05
1134324,1950,0.05
1145008,4285,0.05
1161007,2660,0.05
1169007,1407,0.05
1176358,1563,0.05
1184591,1553,0.05
1192824,3093,0.05
1206674,1924,0.05
1217310,3703,0.05
1227741,1472,0.05
1236623,32133,0.05
1280857,2098,0.05
1293823,3924,0.05
1305107,3140,0.05
1312961,831,0.05
1323174,10249,0.05
1342741,1488,0.05
1354323,1398,0.05
1354323,1398,0.05
