mjd,mag,magerr
280241,5438,0.05
294124,3098,0.05
306424,3151,0.05
316609,5377,0.05
330908,7926,0.05
355243,3758,0.05
367092,4743,0.05
382859,4201,0.05
398673,9777,0.05
416675,3353,0.05
429409,4825,0.05
444842,3969,0.05
459442,5985,0.05
477559,3869,0.05
492158,1856,0.05
502559,3090,0.05
513142,5398,0.05
534808,3825,0.05
548707,3453,0.05
559892,1647,0.05
559892,1647,0.05
578125,10767,0.05
600725,2495,0.05
607958,4777,0.05
626158,1745,0.05
632525,4405,0.05
650641,1611,0.05
657574,4302,0.05
669825,4288,0.05
681242,3820,0.05
696658,1691,0.05
701492,5209,0.05
715775,3736,0.05
730008,2005,0.05
740125,2627,0.05
749058,3305,0.05
763240,3623,0.05
799325,1432,0.05
804875,4984,0.05
817875,4503,0.05
838357,3378,0.05
838357,3378,0.05
864141,5408,0.05
875057,3751,0.05
890042,2219,0.05
901175,3770,0.05
916091,1962,0.05
925474,3346,0.05
934667,2085,0.05
943774,3626,0.05
953808,7308,0.05
985875,6022,0.05
1001522,3700,0.05
1012458,2050,0.05
1020291,1540,0.05
1028424,2877,0.05
1036625,2649,0.05
1046725,1749,0.05
1052924,2894,0.05
1074608,4139,0.05
1087041,1565,0.05
1095591,10889,0.05
1095591,10889,0.05
1112940,2253,0.05
1118139,3235,0.05
1128057,4282,0.05
1138940,2276,0.05
1151575,3347,0.05
1166008,1905,0.05
1172091,2174,0.05
1178924,2732,0.05
1187191,2994,0.05
1199722,5031,0.05
1211325,2797,0.05
1225224,2080,0.05
1230724,2558,0.05
1270841,5756,0.05
1285074,6470,0.05
1300141,3627,0.05
1310558,1317,0.05
1315174,5522,0.05
1335857,1403,0.05
1347440,4144,0.05
1347440,4144,0.05
