mjd,mag,magerr
159588,2179,0.05
170869,1758,0.05
180683,1568,0.05
189631,1682,0.05
206394,1663,0.05
214675,3345,0.05
228955,2107,0.05
245017,2304,0.05
257581,3533,0.05
267129,2328,0.05
276744,872,0.05
282409,944,0.05
288907,686,0.05
293822,983,0.05
301422,1217,0.05
310053,1063,0.05
317218,917,0.05
325132,1600,0.05
332113,1418,0.05
338545,935,0.05
338545,935,0.05
352126,2160,0.05
360507,1655,0.05
372070,1705,0.05
380419,1282,0.05
389600,3334,0.05
398932,4307,0.05
412145,1871,0.05
419826,2088,0.05
428557,2021,0.05
439838,1462,0.05
449586,1271,0.05
454618,420,0.05
458684,436,0.05
462983,1033,0.05
469182,1100,0.05
474696,853,0.05
479311,592,0.05
484844,976,0.05
489959,1179,0.05
501857,1310,0.05
501857,1310,0.05
511005,2112,0.05
518403,1916,0.05
535232,2855,0.05
546879,3024,0.05
555893,1096,0.05
560309,1385,0.05
567291,7212,0.05
577988,347,0.05
582238,1233,0.05
592602,1649,0.05
601183,2527,0.05
614496,612,0.05
623211,3196,0.05
636391,2603,0.05
643206,2166,0.05
655603,463,0.05
660918,3285,0.05
670166,1507,0.05
678181,217,0.05
681630,221,0.05
681630,221,0.05
688495,816,0.05
693310,591,0.05
699659,2734,0.05
712173,374,0.05
716788,2158,0.05
726519,5379,0.05
737017,3291,0.05
746664,2727,0.05
756696,1722,0.05
766676,4077,0.05
777040,1045,0.05
782239,1585,0.05
791670,2134,0.05
806183,1113,0.05
811283,221,0.05
816604,2264,0.05
822213,386,0.05
826895,405,0.05
831561,4043,0.05
843474,773,0.05
843474,773,0.05
